date,open,high,low,close,volume,is_anomaly
2026-08-31,402.5,406.49,401.11,405.27,154736,False
2026-08-28,402.99,406.0,401.0,402.68,83540,False
2026-08-27,400.22,405.0,400.22,402.99,117990,False
2026-08-25,401.97,403.5,398.51,400.21,143109,False
2026-08-24,406.0,406.17,399.55,400.82,266496,False
2026-08-21,404.5,409.0,401.55,405.24,76004,False
2026-08-20,407.99,408.5,404.5,405.45,77311,False
2026-08-19,407.0,409.5,404.0,405.42,78737,False
2026-08-18,415.0,415.0,405.57,407.26,356501,False
2026-08-17,422.0,425.0,420.65,422.45,441142,False
2026-08-13,420.01,423.3,419.0,420.52,338511,False
2026-08-12,418.81,421.49,417.01,419.85,273467,False
2026-08-11,419.79,421.2,416.0,418.81,212817,False
2026-08-10,422.0,425.0,417.11,418.38,215653,False
2026-08-07,424.99,424.99,417.01,419.92,219867,False
2026-08-06,417.12,429.0,417.12,423.34,827520,False
2026-08-05,409.91,418.0,407.18,417.12,240031,False
2026-08-04,408.03,409.94,402.56,406.12,250892,False
2026-08-03,409.71,414.97,407.0,407.85,196723,False
2026-07-31,406.99,414.99,406.99,408.67,176177,False
2026-07-30,402.02,410.0,402.02,406.99,90673,False
2026-07-29,408.85,408.85,405.0,406.88,28378,False
2026-07-28,412.26,412.98,407.51,409.15,299409,False
2026-07-27,406.0,411.9,405.0,410.21,128049,False
2026-07-24,400.99,405.0,397.02,402.02,295127,False
2026-07-23,405.11,408.98,400.0,401.63,238478,False
2026-07-22,405.0,409.99,402.02,405.47,214892,False
2026-07-21,405.26,406.15,400.0,404.04,419900,False
2026-07-20,397.51,405.47,394.0,401.72,293091,False
2026-07-17,406.99,406.99,397.77,401.7,512547,False
2026-07-16,399.89,406.67,399.5,404.55,399312,False
2026-07-15,399.0,407.0,393.8,397.68,488651,False
2026-07-14,409.0,409.9,396.3,397.11,498510,False
2026-07-13,408.0,416.98,408.0,412.51,89651,False
2026-07-10,416.0,420.0,413.97,417.37,228112,False
2026-07-09,419.99,421.0,410.5,413.11,564764,False
2026-07-08,415.0,427.0,415.0,422.0,495330,False
2026-07-07,433.94,435.0,426.12,431.66,553953,False
2026-07-06,427.11,434.0,427.11,432.59,661569,False
2026-07-03,425.99,427.74,420.5,427.11,399609,False
2026-07-02,428.01,434.0,419.0,423.75,2254969,False
2026-07-01,406.74,429.5,405.02,426.84,1857558,False
2026-06-30,405.03,409.02,404.1,405.51,374981,False
2026-06-29,403.75,408.0,402.51,405.01,794472,False
2026-06-24,400.98,406.0,396.5,403.75,682750,False
2026-06-23,401.95,403.3,396.0,398.83,623624,False
2026-06-22,404.0,406.0,398.0,400.1,403253,False
2026-06-19,408.99,409.0,398.0,402.93,217893,False
2026-06-18,408.89,410.89,406.9,407.11,263994,False
2026-06-17,410.5,412.8,407.0,408.6,330198,False
2026-06-16,403.95,412.0,403.02,410.48,745156,False
2026-06-15,406.99,406.99,399.85,402.41,333132,False
2026-06-12,400.66,401.45,398.5,399.95,373407,False
2026-06-11,397.5,400.01,397.5,398.79,349001,False
2026-06-10,403.69,406.89,396.0,397.2,327875,False
2026-06-09,405.01,409.01,402.02,403.69,224617,False
2026-06-08,406.52,408.99,403.51,405.01,94497,False
2026-06-05,414.99,415.5,406.51,407.61,120160,False
2026-06-04,410.0,415.5,410.0,412.62,165369,False
2026-06-03,408.0,418.0,404.04,409.98,381422,False
2026-06-02,405.51,411.0,404.0,408.11,270122,False
2026-06-01,415.0,415.0,406.8,407.38,65316,False
2026-05-29,407.5,414.0,407.5,413.28,237115,False
2026-05-25,408.0,414.49,407.0,412.57,418998,False
2026-05-22,408.0,408.0,402.5,405.01,70440,False
2026-05-21,407.0,409.5,403.66,405.88,571134,False
2026-05-20,401.77,405.0,400.0,403.65,661945,False
2026-05-19,401.04,404.0,396.52,401.77,830148,False
2026-05-18,399.49,403.0,393.0,401.04,709362,False
2026-05-15,397.0,403.0,396.27,398.88,542968,False
2026-05-14,396.5,400.0,396.2,397.0,157602,False
2026-05-13,399.5,403.0,396.0,397.46,195844,False
2026-05-12,403.07,405.5,399.1,399.83,194625,False
2026-05-11,403.99,405.75,396.0,403.07,45605,False
2026-05-08,410.35,410.35,403.0,404.57,297502,False
2026-05-07,416.5,417.0,409.0,410.35,164259,False
2026-05-06,409.0,419.0,403.59,416.19,667240,False
2026-05-05,392.78,432.06,390.5,403.41,2745167,False
2026-05-04,405.0,407.9,397.0,401.78,953092,False
2026-04-30,399.0,399.0,392.99,394.32,422156,False
2026-04-29,406.75,408.99,395.06,398.48,306025,False
2026-04-28,403.97,408.0,403.95,406.37,103715,False
2026-04-27,406.0,409.9,395.0,404.78,172621,False
2026-04-24,400.11,409.0,400.11,405.82,405531,False
2026-04-23,414.0,414.0,404.05,407.34,301524,False
2026-04-22,409.99,416.5,408.1,411.03,68240,False
2026-04-21,414.96,419.25,411.0,412.94,348588,False
2026-04-20,418.0,418.0,406.5,410.99,413026,False
2026-04-17,412.87,419.0,410.11,418.03,446592,False
2026-04-16,409.4,414.99,405.51,410.11,510465,False
2026-04-15,409.05,416.0,405.55,409.41,723834,False
2026-04-14,403.15,409.0,402.5,405.62,241134,False
2026-04-13,400.0,407.0,398.0,399.94,320521,False
2026-04-10,406.99,414.9,405.01,411.49,347147,False
2026-04-09,409.96,412.0,385.0,401.8,492443,False
2026-04-08,413.0,413.0,396.0,411.12,885696,False
2026-04-07,379.0,379.0,370.13,377.26,306474,False
2026-04-06,367.36,376.5,363.0,374.04,423584,False
2026-04-03,367.5,374.0,365.0,367.37,195410,False
2026-04-02,377.0,379.95,366.75,370.09,585135,False
2026-04-01,374.0,390.0,372.99,386.89,841461,False
2026-03-31,364.89,370.0,363.02,367.13,304760,False
2026-03-30,367.9,368.23,358.5,361.7,1170453,False
2026-03-27,369.9,372.89,365.0,366.35,168352,False
2026-03-26,375.0,379.0,365.0,366.7,377373,False
2026-03-25,365.99,376.45,362.5,375.36,408707,False
2026-03-24,371.11,376.96,353.0,362.11,743917,False
2026-03-19,370.0,375.0,363.5,367.89,333743,False
2026-03-18,362.51,374.5,359.1,372.64,459765,False
2026-03-17,350.0,364.99,346.0,362.27,3068659,False
2026-03-16,361.06,364.93,352.0,355.76,300049,False
2026-03-13,361.5,368.0,357.51,363.1,561101,False
2026-03-12,368.0,374.0,358.66,361.33,1126543,False
2026-03-11,373.97,377.0,367.0,372.36,201506,False
2026-03-10,379.99,390.0,365.1,368.58,461271,False
2026-03-09,361.07,364.98,345.0,357.81,493393,False
2026-03-06,375.0,376.0,368.87,369.63,260640,False
2026-03-05,369.0,379.0,369.0,373.87,371255,False
2026-03-04,379.0,385.0,360.01,368.63,394501,False
2026-03-03,357.0,384.99,356.0,372.13,741433,False
2026-03-02,357.52,389.0,357.52,357.53,1154454,False
2026-02-27,399.99,406.99,395.0,397.24,2801915,False
2026-02-26,400.04,410.44,396.25,402.32,1242465,False
2026-02-25,392.0,404.0,392.0,400.04,931214,False
2026-02-24,386.01,392.0,380.0,390.23,1053242,False
2026-02-23,393.63,403.99,384.0,386.01,204992,False
2026-02-20,400.0,403.96,387.5,393.63,673608,False
