date,open,high,low,close,volume,is_anomaly
2026-08-31,100.0,100.99,99.1,99.58,4963425,False
2026-08-28,102.3,102.8,101.05,101.43,5905918,False
2026-08-27,104.4,105.45,101.65,102.09,17095624,False
2026-08-25,102.5,103.89,100.62,103.42,18871822,False
2026-08-24,98.99,102.1,98.8,101.7,14664556,False
2026-08-21,97.1,98.26,95.51,97.9,6353458,False
2026-08-20,99.25,99.45,96.6,97.0,4203886,False
2026-08-19,98.53,99.7,97.31,98.13,7687663,False
2026-08-18,101.45,101.74,98.75,99.41,12544462,False
2026-08-17,102.01,102.75,101.75,101.87,6448946,False
2026-08-13,103.06,103.45,101.7,101.93,8524664,False
2026-08-12,100.65,103.47,100.06,102.75,14568596,False
2026-08-11,101.99,101.99,100.0,100.65,9302551,False
2026-08-10,103.0,105.15,102.5,102.98,24143152,False
2026-08-07,102.0,102.6,100.96,102.07,12492335,False
2026-08-06,98.95,103.51,98.06,103.09,30408553,False
2026-08-05,98.99,99.19,97.2,97.94,13720705,False
2026-08-04,97.0,97.0,95.62,95.93,4827260,False
2026-08-03,99.0,99.43,96.76,97.45,16769843,False
2026-07-31,96.75,98.15,94.5,94.87,12857399,False
2026-07-30,94.5,96.2,93.55,95.59,14869171,False
2026-07-29,94.0,96.29,93.25,95.67,18349587,False
2026-07-28,98.0,99.01,96.15,96.91,24346490,False
2026-07-27,93.73,96.99,92.7,96.56,25438242,False
2026-07-24,87.55,90.74,86.55,88.17,13125605,False
2026-07-23,92.0,92.5,88.2,88.82,12819857,False
2026-07-22,93.94,94.2,91.49,92.16,13943190,False
2026-07-21,97.25,97.7,94.01,94.36,13714389,False
2026-07-20,93.5,96.89,92.55,96.36,13521739,False
2026-07-17,98.4,98.7,95.0,95.5,7493009,False
2026-07-16,96.9,98.7,96.05,98.16,14612486,False
2026-07-15,93.75,96.05,93.75,95.67,10777520,False
2026-07-14,98.51,98.9,93.0,93.32,27034381,False
2026-07-13,101.01,102.49,100.5,100.94,12914927,False
