date,open,high,low,close,volume,is_anomaly
2026-07-28,123.99,124.4,122.26,122.59,117763,False
2026-07-27,120.24,124.0,120.0,123.23,193707,False
2026-07-24,118.79,119.9,116.1,118.75,109671,False
2026-07-23,121.0,121.89,118.5,118.88,132082,False
2026-07-22,120.3,121.5,120.0,120.2,132746,False
2026-07-21,122.0,122.84,121.21,121.64,176951,False
2026-07-20,120.02,120.99,118.2,120.27,150005,False
2026-07-17,123.31,124.89,120.75,121.06,168027,False
2026-07-16,122.49,123.64,121.9,123.31,150490,False
2026-07-15,120.0,123.5,120.0,121.32,259991,False
2026-07-14,126.0,127.0,119.0,119.79,863440,False
2026-07-13,128.0,129.7,127.32,128.11,297040,False
2026-07-10,128.8,131.79,128.51,130.57,281832,False
2026-07-09,127.3,129.56,127.0,128.24,348543,False
2026-07-08,131.31,131.51,128.0,128.69,438297,False
2026-07-07,134.2,134.2,132.12,132.4,287506,False
2026-07-06,134.8,134.8,133.21,133.94,279644,False
2026-07-03,136.0,136.0,133.0,134.02,480408,False
2026-07-02,134.0,136.95,133.75,135.16,2372454,False
2026-07-01,134.0,135.4,133.01,133.52,192948,False
2026-06-30,132.99,136.0,132.23,133.61,374681,False
2026-06-29,134.45,135.19,131.0,132.23,356254,False
2026-06-24,131.6,135.15,131.5,134.47,395269,False
2026-06-23,133.16,133.85,131.5,131.83,458725,False
2026-06-22,134.1,135.0,132.0,133.16,644470,False
2026-06-19,136.5,136.5,132.51,133.1,871239,False
2026-06-18,136.24,139.4,135.72,136.93,1149403,False
2026-06-17,136.99,138.5,135.3,136.24,818557,False
2026-06-16,136.0,138.49,135.5,136.78,1387315,False
2026-06-15,138.8,138.8,134.01,135.0,774683,False
2026-06-12,129.9,132.8,129.0,132.03,1195601,False
2026-06-11,127.99,128.87,127.2,127.92,384972,False
2026-06-10,129.51,131.0,128.28,128.62,528293,False
2026-06-09,130.98,132.5,130.1,130.52,1017281,False
2026-06-08,126.0,129.99,125.1,128.7,679298,False
2026-06-05,129.0,130.5,127.75,128.01,407150,False
2026-06-04,128.99,130.32,128.0,129.24,373369,False
2026-06-03,131.25,131.25,127.99,128.24,640300,False
2026-06-02,134.49,134.49,131.5,131.68,613635,False
2026-06-01,133.97,138.9,133.12,133.69,1489573,False
2026-05-29,130.48,135.49,130.11,133.98,1486913,False
2026-05-25,130.0,131.99,129.5,129.87,461144,False
2026-05-22,131.51,131.89,127.25,127.96,536626,False
2026-05-21,132.4,133.0,130.4,130.92,1002579,False
2026-05-20,127.98,131.4,127.26,130.33,1141853,False
2026-05-19,125.01,127.47,125.01,126.9,684330,False
2026-05-18,128.7,129.0,123.0,123.52,1134023,False
2026-05-15,132.99,132.99,129.0,129.62,1118758,False
2026-05-14,131.79,135.49,131.25,133.18,1966609,False
2026-05-13,135.0,136.8,130.02,130.94,2241633,False
2026-05-12,147.35,148.25,132.01,134.86,5036015,False
2026-05-11,138.99,147.98,138.1,146.05,9298924,False
2026-05-08,135.99,143.75,134.0,140.34,6266015,False
2026-05-07,135.99,139.89,133.1,137.21,3859120,False
2026-05-06,126.0,137.19,125.0,136.05,7875659,False
2026-05-05,124.58,129.74,123.02,124.72,2900339,False
2026-05-04,124.58,124.58,124.58,124.58,988747,False
2026-04-30,115.0,118.0,108.9,113.25,1714253,False
2026-04-29,122.1,124.5,115.75,116.72,738020,False
2026-04-28,120.0,129.2,119.6,123.0,1994322,False
2026-04-27,117.0,124.51,117.0,122.39,1560812,False
2026-04-24,116.85,120.3,113.55,118.55,684000,False
2026-04-23,118.0,118.8,115.53,116.87,429970,False
2026-04-22,122.89,123.7,117.51,118.27,1125907,False
2026-04-21,120.89,125.85,120.89,123.15,1447090,False
2026-04-20,124.88,127.5,118.0,120.18,2081529,False
2026-04-17,128.0,128.0,125.5,125.95,1024328,False
2026-04-16,124.62,128.51,123.16,126.37,1653699,False
2026-04-15,125.61,127.9,123.8,124.61,2370413,False
2026-04-14,123.48,124.89,122.0,123.67,3218532,False
2026-04-13,123.51,125.1,119.6,120.72,2427621,False
2026-04-10,113.6,125.14,113.51,125.14,4125672,False
2026-04-09,112.0,114.78,107.51,113.76,866290,False
2026-04-08,112.7,112.79,108.5,112.58,2869250,False
2026-04-07,100.51,103.5,100.51,102.54,81819,False
2026-04-06,101.0,105.0,99.5,102.2,640627,False
2026-04-03,98.01,104.62,97.99,101.13,680375,False
2026-04-02,99.99,101.99,93.0,101.21,282005,False
2026-04-01,99.9,103.46,99.2,102.23,620281,False
2026-03-31,96.5,100.5,94.5,98.04,592258,False
2026-03-30,99.24,99.24,92.02,95.89,420526,False
2026-03-27,100.1,102.35,98.56,99.14,302953,False
2026-03-26,105.5,105.5,100.0,101.48,359347,False
2026-03-25,102.56,106.4,102.56,105.44,1655138,False
2026-03-24,105.8,106.5,101.51,102.28,199065,False
2026-03-19,103.96,103.96,101.0,102.53,74721,False
2026-03-18,103.45,105.38,101.04,104.09,262321,False
2026-03-17,103.0,104.0,101.0,102.5,197473,False
2026-03-16,102.0,105.25,101.0,102.84,336848,False
2026-03-13,104.0,105.79,102.22,104.02,439483,False
2026-03-12,101.9,108.49,99.0,106.62,1198516,False
2026-03-11,99.99,102.9,97.12,102.06,432720,False
2026-03-10,92.5,98.34,92.5,98.34,609112,False
2026-03-09,94.99,94.99,87.66,89.4,788919,False
2026-03-06,99.1,99.5,95.0,97.4,154088,False
2026-03-05,95.05,100.0,95.02,99.04,339561,False
2026-03-04,94.1,97.0,92.2,95.02,304249,False
2026-03-03,96.0,96.0,91.1,94.0,782591,False
2026-03-02,97.1,99.8,96.53,96.53,469363,False
2026-02-27,108.1,110.0,106.87,107.26,278252,False
2026-02-26,108.0,109.99,105.53,109.79,266596,False
2026-02-25,110.5,111.0,106.5,107.28,343590,False
2026-02-24,109.45,111.48,106.1,110.04,398325,False
2026-02-23,115.0,115.0,108.5,109.8,342587,False
2026-02-20,116.1,118.0,110.11,115.21,279758,False
2026-02-19,122.5,123.0,111.0,115.79,495169,False
2026-02-18,120.8,123.5,120.0,122.53,651388,False
2026-02-17,125.5,126.5,115.11,120.81,970588,False
2026-02-16,127.45,130.89,124.61,125.19,2614970,False
2026-02-13,129.0,130.82,126.5,127.41,1578092,False
2026-02-12,123.17,131.0,122.02,128.47,2746602,False
2026-02-11,125.02,125.02,122.53,123.17,221701,False
2026-02-10,125.99,125.99,124.0,124.56,182639,False
2026-02-09,124.02,124.95,123.12,124.24,153259,False
2026-02-06,125.76,125.76,123.01,124.02,290379,False
2026-02-04,127.9,128.2,125.06,125.48,492881,False
2026-02-03,124.31,132.0,124.31,128.18,3158743,False
2026-02-02,124.88,124.88,123.05,124.16,223105,False
2026-01-30,124.0,125.5,122.0,123.21,655748,False
2026-01-29,126.31,127.0,122.0,122.83,584332,False
2026-01-28,127.8,128.39,126.02,126.99,190536,False
2026-01-27,128.13,128.5,127.21,127.7,89173,False
2026-01-26,129.05,129.5,127.0,127.85,228966,False
2026-01-23,130.49,130.49,128.12,128.88,214925,False
2026-01-22,129.0,129.96,128.6,129.48,142811,False
2026-01-21,130.58,131.3,128.75,128.98,264692,False
2026-01-20,129.16,130.2,129.0,130.1,355373,False
2026-01-19,128.8,131.0,128.5,129.06,516825,False
2026-01-16,128.0,129.74,128.0,128.49,472892,False
2026-01-15,133.1,133.5,127.0,127.41,1852381,False
2026-01-14,134.9,134.9,132.0,133.17,1434942,False
2026-01-13,133.49,133.5,131.72,132.79,383952,False
2026-01-12,130.78,134.0,130.54,132.93,900565,False
2026-01-09,132.01,133.5,131.0,131.36,434797,False
2026-01-08,134.08,135.5,131.0,131.77,433927,False
2026-01-07,131.35,135.27,131.05,134.08,1976747,False
2026-01-06,132.5,132.98,130.22,131.34,934165,False
2026-01-05,133.9,134.77,131.05,131.98,719087,False
2026-01-02,134.74,136.5,132.02,133.45,1064567,False
2026-01-01,135.0,137.75,134.0,134.5,1259914,False
2025-12-31,130.8,135.2,130.5,134.7,2455892,False
2025-12-30,129.0,130.7,128.81,130.5,608394,False
2025-12-29,130.5,130.99,128.66,128.94,413621,False
2025-12-26,131.1,131.9,129.02,130.1,413555,False
2025-12-24,132.99,132.99,130.0,130.61,632553,False
2025-12-23,133.0,133.0,131.3,132.18,173187,False
2025-12-22,135.05,135.5,131.73,131.92,550464,False
2025-12-19,138.39,138.39,133.5,133.86,584443,False
2025-12-18,138.51,140.0,136.7,137.02,1479855,False
2025-12-17,133.5,137.25,133.01,136.35,2734096,False
2025-12-16,135.45,137.48,132.66,133.11,1045778,False
2025-12-15,132.99,136.5,131.01,135.2,2007631,False
2025-12-12,129.9,132.94,129.9,132.35,565434,False
2025-12-11,130.5,130.75,129.06,129.71,271395,False
2025-12-10,131.0,131.8,130.0,130.34,239823,False
2025-12-09,131.11,131.89,130.0,130.69,302004,False
2025-12-08,129.02,132.75,128.75,130.49,582156,False
2025-12-05,129.99,130.94,128.5,129.68,171162,False
2025-12-04,129.88,130.66,128.22,128.99,296752,False
2025-12-03,130.9,133.5,128.82,129.27,736937,False
2025-12-02,132.0,132.5,130.01,130.17,187018,False
2025-12-01,130.5,132.26,129.5,131.48,544679,False
2025-11-28,129.12,133.0,128.69,130.34,1866795,False
2025-11-27,126.0,130.45,125.0,129.13,1237419,False
2025-11-26,126.0,126.7,124.45,125.41,246464,False
2025-11-25,127.0,128.88,125.1,126.31,303799,False
2025-11-24,127.0,127.88,125.6,126.86,172327,False
2025-11-21,129.02,129.9,125.84,126.46,370801,False
2025-11-20,131.0,131.0,128.7,129.08,201503,False
2025-11-19,129.9,131.0,129.5,129.66,179879,False
2025-11-18,130.25,131.89,128.9,129.08,371538,False
2025-11-17,130.0,130.99,129.2,129.68,224714,False
2025-11-14,129.99,130.4,128.75,129.87,151237,False
2025-11-13,129.05,129.8,127.44,128.6,258382,False
2025-11-12,129.35,131.31,127.98,128.21,412198,False
2025-11-11,135.89,135.89,128.99,129.28,704282,False
2025-11-10,135.99,137.5,135.2,135.97,686088,False
2025-11-07,135.79,138.87,134.73,135.2,890912,False
2025-11-06,134.0,135.99,134.0,134.33,77995,False
2025-11-05,133.02,137.0,133.02,134.4,545944,False
2025-11-04,135.95,135.99,133.5,133.95,290570,False
