date,open,high,low,close,volume,is_anomaly
2026-09-18,740.17,746.51,739.5,741.48,115635,False
2026-09-17,733.4,744.23,733.4,740.17,143428,False
2026-09-16,737.0,746.97,732.86,733.42,314658,False
2026-09-15,720.0,749.99,720.0,736.89,326665,False
2026-09-14,715.8,720.75,714.8,718.94,110944,False
2026-09-11,725.51,725.51,713.0,715.84,795496,False
2026-09-10,730.96,730.96,725.51,726.26,109095,False
2026-09-09,728.2,731.99,727.5,729.58,96419,False
2026-09-08,729.01,730.7,726.5,727.21,150170,False
2026-09-07,732.0,732.0,726.5,729.38,108430,False
2026-09-04,733.0,733.0,726.0,730.21,100967,False
2026-09-03,734.89,734.89,729.7,731.57,78273,False
2026-09-02,729.95,733.0,725.14,729.3,142813,False
2026-09-01,736.0,737.68,729.03,730.04,205978,False
2026-08-31,739.0,742.0,732.85,734.56,194446,False
2026-08-28,750.0,750.99,738.5,739.4,439594,False
2026-08-27,748.0,765.0,745.0,747.47,1261270,False
2026-08-25,723.9,724.99,717.0,722.89,214891,False
2026-08-24,724.99,726.0,715.0,719.41,530713,False
2026-08-21,719.98,719.98,709.0,717.8,378874,False
2026-08-20,715.12,720.09,714.3,718.04,204478,False
2026-08-19,716.0,721.88,712.5,715.12,196704,False
2026-08-18,722.0,723.0,715.05,717.39,182526,False
2026-08-17,722.49,722.5,716.8,721.7,293780,False
2026-08-13,730.0,730.0,710.01,716.34,344685,False
2026-08-12,695.01,728.0,695.01,724.4,913117,False
2026-08-11,695.0,705.0,694.5,700.88,755727,False
2026-08-10,691.87,699.0,691.87,695.02,337115,False
2026-08-07,691.49,693.5,687.5,688.63,459007,False
2026-08-06,690.0,692.8,688.0,689.72,315522,False
2026-08-05,690.1,692.0,687.6,688.27,214870,False
2026-08-04,692.7,692.7,687.01,688.01,261886,False
2026-08-03,690.0,694.0,687.0,687.97,135900,False
2026-07-31,683.0,693.0,683.0,686.98,163661,False
2026-07-30,680.0,686.0,680.0,683.0,99390,False
2026-07-29,683.0,686.0,682.0,685.41,75016,False
2026-07-28,685.95,687.5,682.25,684.19,103303,False
2026-07-27,679.8,684.5,676.0,682.24,90176,False
2026-07-24,672.1,675.0,668.2,670.02,130346,False
2026-07-23,677.49,680.97,671.0,672.12,97568,False
2026-07-22,683.91,687.99,675.0,675.75,219152,False
2026-07-21,682.24,688.0,682.24,683.91,84204,False
2026-07-20,678.25,682.74,674.66,682.24,37631,False
2026-07-17,680.26,682.48,678.01,679.21,123537,False
2026-07-16,678.87,683.97,678.87,682.67,79451,False
2026-07-15,675.5,681.0,675.5,676.06,102089,False
2026-07-14,679.5,679.5,674.0,675.53,182948,False
2026-07-13,680.01,684.9,679.01,679.72,96455,False
2026-07-10,682.0,686.0,681.0,682.49,338493,False
2026-07-09,679.99,684.0,678.5,682.8,127512,False
2026-07-08,685.0,689.0,682.0,683.42,172060,False
2026-07-07,687.0,690.0,684.2,685.22,141271,False
2026-07-06,685.8,688.0,683.05,685.05,321617,False
2026-07-03,687.0,687.0,683.85,685.8,112344,False
2026-07-02,692.0,692.0,685.03,685.61,152251,False
2026-07-01,687.0,693.0,686.0,687.9,160000,False
