date,open,high,low,close,volume,is_anomaly
2026-09-04,49.51,49.99,49.2,49.37,385570,False
2026-09-03,49.31,50.18,49.01,49.27,922867,False
2026-09-02,49.0,49.44,48.1,49.15,966997,False
2026-09-01,49.75,50.24,49.29,49.52,715076,False
2026-08-31,50.18,50.49,49.5,49.7,1133839,False
2026-08-28,50.0,50.15,49.62,49.87,1003482,False
2026-08-27,51.65,52.24,49.39,49.74,4468600,False
2026-08-25,52.0,52.0,51.15,51.34,706465,False
2026-08-24,51.24,51.85,51.0,51.5,1796956,False
2026-08-21,51.4,51.4,50.01,50.71,1014440,False
2026-08-20,51.2,51.5,50.4,50.71,1136737,False
2026-08-19,51.78,52.6,50.81,51.0,1963600,False
2026-08-18,52.56,52.95,51.67,51.78,2374147,False
2026-08-17,52.99,53.48,52.51,52.7,2255874,False
2026-08-13,53.65,54.27,52.6,52.8,4965732,False
2026-08-12,51.8,53.9,51.71,53.48,7325724,False
2026-08-11,52.35,53.0,51.51,51.78,1813362,False
2026-08-10,53.0,53.4,52.0,52.37,2335371,False
2026-08-07,52.5,53.9,52.0,52.78,8652178,False
2026-08-06,53.0,53.3,52.01,52.42,2651689,False
2026-08-05,52.6,53.1,51.88,52.77,4981881,False
2026-08-04,53.01,53.2,51.49,51.71,2879529,False
2026-08-03,53.9,54.0,52.76,53.02,8047605,False
2026-07-31,51.52,53.91,51.4,52.43,13848015,False
2026-07-30,49.35,52.3,49.0,51.29,17816370,False
2026-07-29,49.8,49.8,48.95,49.37,1533577,False
2026-07-28,51.2,51.7,49.85,50.02,6106040,False
2026-07-27,51.4,51.8,50.93,51.14,9212571,False
2026-07-24,49.0,50.0,48.4,49.82,2170218,False
2026-07-23,50.16,50.45,48.84,49.02,3310509,False
2026-07-22,51.0,51.6,49.8,50.08,4484819,False
2026-07-21,52.3,52.5,51.25,51.36,6289010,False
2026-07-20,50.6,51.74,49.5,51.49,8306606,False
2026-07-17,53.5,53.8,51.3,51.53,4417526,False
2026-07-16,51.25,55.1,51.25,53.23,11879991,False
2026-07-15,51.05,51.5,50.03,51.15,3910416,False
2026-07-14,52.01,52.8,50.13,50.49,6718533,False
2026-07-13,52.91,53.89,52.5,53.38,4954913,False
2026-07-10,55.5,56.15,54.5,54.58,5077508,False
2026-07-09,54.0,55.44,53.05,54.73,7421729,False
2026-07-08,55.26,56.2,52.75,53.86,7456687,False
2026-07-07,56.75,57.74,56.33,56.76,11952372,False
2026-07-06,53.7,56.4,53.5,55.85,14242897,False
2026-07-03,52.6,53.25,52.5,52.93,3215650,False
2026-07-02,51.6,54.5,51.1,52.51,9012446,False
2026-07-01,54.24,55.25,51.67,51.87,7351195,False
2026-06-30,49.49,53.74,49.45,53.74,24056099,False
2026-06-29,49.72,50.0,48.5,48.85,4574478,False
2026-06-24,49.1,50.1,48.73,49.72,1881724,False
2026-06-23,50.2,50.3,49.0,49.24,1518479,False
2026-06-22,52.0,52.4,49.36,49.62,3423856,False
