date,open,high,low,close,volume,is_anomaly
2026-09-18,928.0,928.0,920.0,921.11,1062,False
2026-09-17,912.36,920.0,910.0,915.37,5980,False
2026-09-16,907.0,920.0,905.0,911.18,5701,False
2026-09-15,916.95,918.0,909.0,910.0,10220,False
2026-09-14,917.99,920.0,907.0,908.32,29791,False
2026-09-11,913.0,920.0,901.11,917.92,34876,False
2026-09-10,920.0,927.99,911.01,914.91,6629,False
2026-09-09,930.0,930.0,920.0,921.51,5675,False
2026-09-08,935.0,935.0,920.0,926.49,5045,False
2026-09-07,947.0,947.0,925.0,925.87,14910,False
2026-09-04,945.0,960.0,931.0,940.73,16833,False
2026-09-03,932.0,950.0,910.1,935.86,22056,False
2026-09-02,939.9,939.9,907.0,930.39,13677,False
2026-09-01,931.0,958.99,925.0,941.94,155484,False
2026-08-31,960.0,978.0,930.0,940.26,109610,False
2026-08-28,950.99,979.9,945.0,971.67,209065,False
2026-08-27,950.0,964.99,901.3,949.78,184280,False
2026-08-25,911.28,940.0,910.0,935.61,122077,False
2026-08-24,910.11,919.0,906.0,911.28,15074,False
2026-08-21,905.01,912.4,901.55,910.11,22939,False
2026-08-20,914.8,914.8,899.0,904.28,9956,False
2026-08-19,900.0,913.98,899.0,900.0,9821,False
2026-08-18,917.8,920.99,890.08,896.88,45850,False
2026-08-17,929.86,930.0,909.0,917.81,43878,False
2026-08-13,924.89,929.9,916.0,924.23,23677,False
2026-08-12,926.94,928.0,918.2,920.91,10251,False
2026-08-11,933.25,933.25,922.8,926.97,30651,False
2026-08-10,932.02,940.0,931.0,932.94,8959,False
2026-08-07,930.0,936.0,925.25,930.44,25578,False
2026-08-06,929.9,939.0,922.8,934.5,9664,False
2026-08-05,925.51,939.5,919.1,925.86,7187,False
2026-08-04,945.0,945.0,925.0,925.23,4577,False
2026-08-03,920.0,931.0,918.0,927.48,23744,False
2026-07-31,920.0,922.8,915.0,917.23,4861,False
2026-07-30,924.0,924.0,910.25,915.48,8760,False
2026-07-29,935.0,935.0,915.0,924.12,4874,False
2026-07-28,944.0,944.0,930.0,934.91,2437,False
2026-07-27,935.0,944.0,925.0,937.59,27285,False
2026-07-24,917.0,964.0,905.1,918.86,8514,False
2026-07-23,920.0,930.0,914.0,916.87,8655,False
2026-07-22,939.0,945.8,920.0,924.32,16396,False
2026-07-21,935.25,950.0,928.0,930.03,9645,False
2026-07-20,947.99,947.99,930.0,935.19,53411,False
2026-07-17,969.88,969.88,950.0,951.11,11794,False
2026-07-16,937.0,980.0,935.0,970.8,71748,False
2026-07-15,926.64,951.0,920.01,930.91,7755,False
2026-07-14,940.0,940.0,925.01,926.63,14501,False
2026-07-13,955.0,955.0,948.2,950.35,48683,False
2026-07-10,964.79,974.98,960.0,963.5,15160,False
2026-07-09,950.0,990.0,950.0,964.81,21681,False
2026-07-08,996.99,997.0,951.11,967.08,44352,False
2026-07-07,1010.0,1010.0,990.0,997.19,24216,False
2026-07-06,1010.99,1020.0,1000.0,1002.39,124706,False
2026-07-03,1020.0,1023.98,1000.1,1016.19,25939,False
2026-07-02,995.32,1029.0,991.01,1019.35,88958,False
2026-07-01,985.0,999.0,980.0,995.32,195901,False
2026-06-30,984.49,989.0,971.0,984.39,35985,False
2026-06-29,955.0,974.0,955.0,970.76,18413,False
2026-06-24,965.0,975.0,954.98,966.44,45924,False
2026-06-23,969.99,975.0,960.0,961.39,174728,False
2026-06-22,980.0,980.0,955.0,963.26,93261,False
2026-06-19,952.2,988.98,948.5,954.49,24286,False
2026-06-18,960.0,990.0,950.0,978.67,37721,False
2026-06-17,951.0,959.5,940.0,951.37,48045,False
2026-06-16,929.99,950.0,906.0,948.13,25279,False
2026-06-15,901.0,930.5,900.0,924.24,61357,False
2026-06-12,890.0,898.0,888.0,888.88,4901,False
2026-06-11,885.0,890.0,881.5,884.79,5161,False
2026-06-10,887.0,888.04,885.0,885.95,6241,False
2026-06-09,885.0,895.0,882.0,888.23,3176,False
2026-06-08,880.0,885.0,870.0,884.45,6690,False
2026-06-05,890.23,894.9,888.0,889.73,9718,False
2026-06-04,893.99,893.99,861.3,889.8,7085,False
2026-06-03,897.5,897.5,880.0,886.36,16246,False
2026-06-02,880.0,896.0,878.0,889.43,9223,False
2026-06-01,897.25,903.9,880.0,884.95,29934,False
2026-05-29,889.98,899.0,885.0,894.96,30922,False
2026-05-25,885.0,896.99,880.0,883.75,27581,False
2026-05-22,863.01,876.0,863.01,871.15,27514,False
2026-05-21,850.0,869.9,849.52,861.32,735243,False
2026-05-20,856.0,868.0,840.0,844.27,33747,False
2026-05-19,863.0,876.0,838.0,855.52,10656,False
2026-05-18,866.0,883.95,858.0,862.07,15376,False
2026-05-15,878.0,878.0,870.0,874.12,7154,False
2026-05-14,885.0,890.0,866.01,869.74,19329,False
2026-05-13,888.0,893.99,878.01,879.95,17212,False
2026-05-12,892.29,899.79,888.0,888.36,8621,False
2026-05-11,911.0,911.0,891.9,892.28,11197,False
2026-05-08,918.0,918.0,888.0,891.67,35678,False
2026-05-07,922.98,922.98,911.0,918.02,10097,False
2026-05-06,913.0,913.0,890.88,909.07,14567,False
2026-05-05,897.79,900.0,880.0,896.93,9622,False
2026-05-04,889.9,918.65,889.9,897.79,4873,False
2026-04-30,900.0,900.0,866.0,882.46,27298,False
2026-04-29,923.97,923.97,900.0,907.36,13544,False
2026-04-28,924.96,930.0,918.0,919.98,9871,False
2026-04-27,917.01,932.97,917.0,919.54,29057,False
2026-04-24,929.99,933.0,917.0,920.2,38866,False
2026-04-23,881.0,950.0,881.0,928.65,11316,False
2026-04-22,954.0,967.88,925.1,945.39,16190,False
2026-04-21,999.9,1007.0,990.0,996.25,48619,False
2026-04-20,1004.0,1017.0,980.0,994.34,41146,False
2026-04-17,986.0,1000.0,961.3,990.33,157733,False
2026-04-16,979.0,985.0,972.01,976.45,27602,False
2026-04-15,980.0,985.0,965.01,971.28,86037,False
2026-04-14,952.25,968.0,881.0,963.29,58733,False
2026-04-13,940.0,960.0,935.0,937.98,19397,False
2026-04-10,965.0,999.48,955.0,962.36,190209,False
2026-04-09,983.0,983.0,950.0,964.85,30449,False
2026-04-08,983.2,983.2,940.02,983.17,248016,False
2026-04-07,888.0,899.9,888.0,893.82,8555,False
2026-04-06,886.9,899.9,886.9,890.72,11918,False
2026-04-03,899.99,907.0,890.01,897.93,10185,False
2026-04-02,914.98,914.98,897.0,907.99,6194,False
2026-04-01,889.9,925.0,889.9,919.81,17113,False
2026-03-31,882.45,910.0,882.0,886.81,8329,False
2026-03-30,919.0,919.0,875.0,882.45,14822,False
2026-03-27,929.9,938.0,902.02,909.91,5158,False
2026-03-26,948.0,948.0,920.0,924.46,13679,False
2026-03-25,945.01,945.01,937.0,938.95,40953,False
2026-03-24,950.0,975.0,930.64,943.13,56071,False
2026-03-19,919.99,939.9,910.5,930.64,3166,False
2026-03-18,934.99,934.99,911.0,924.53,26621,False
2026-03-17,891.0,976.99,891.0,906.68,30630,False
2026-03-16,861.0,907.44,853.53,888.17,14599,False
