date,open,high,low,close,volume,is_anomaly
2026-09-18,151.0,154.5,151.0,153.36,584914,False
2026-09-17,151.0,152.35,150.0,150.9,212207,False
2026-09-16,150.51,153.45,150.0,150.15,135650,False
2026-09-15,153.04,154.89,150.01,151.27,135552,False
2026-09-14,155.7,155.75,152.0,153.57,103125,False
2026-09-11,157.25,158.5,154.0,155.7,278425,False
2026-09-10,161.4,161.44,156.11,157.69,261778,False
2026-09-09,161.8,164.45,160.11,161.29,168421,False
2026-09-08,161.51,162.99,158.85,161.74,205958,False
2026-09-07,163.01,163.88,162.09,162.52,94210,False
2026-09-04,163.6,164.5,162.42,163.83,90189,False
2026-09-03,163.01,165.5,162.3,163.37,366150,False
2026-09-02,165.0,166.69,162.3,163.01,410814,False
2026-09-01,163.99,169.9,163.0,168.2,589531,False
2026-08-31,169.99,169.99,162.0,163.46,888516,False
2026-08-28,169.68,170.5,168.12,169.2,201429,False
2026-08-27,171.99,171.99,169.0,169.68,270005,False
2026-08-25,173.49,173.99,168.11,170.29,955140,False
2026-08-24,179.0,179.45,172.22,172.95,833596,False
2026-08-21,181.11,182.0,175.5,177.94,510220,False
2026-08-20,184.0,184.0,179.72,180.35,173306,False
2026-08-19,180.0,185.99,180.0,181.27,502634,False
2026-08-18,186.46,186.46,177.0,179.56,1348592,False
2026-08-17,189.0,190.74,185.35,186.46,318027,False
2026-08-13,189.34,189.99,188.01,188.41,104196,False
2026-08-12,189.99,190.74,188.04,188.78,118202,False
2026-08-11,193.0,193.0,189.0,189.19,228207,False
2026-08-10,194.17,194.17,191.22,192.05,398509,False
2026-08-07,193.87,193.87,190.95,191.43,194092,False
2026-08-06,192.5,193.49,191.09,192.28,189689,False
2026-08-05,193.0,194.0,191.12,191.78,108945,False
2026-08-04,192.0,192.35,190.5,191.76,41396,False
2026-08-03,194.0,194.0,190.41,191.14,243224,False
2026-07-31,192.4,193.0,190.3,190.93,151665,False
2026-07-30,191.0,192.5,190.0,191.67,70432,False
2026-07-29,193.0,193.15,190.0,192.17,143417,False
2026-07-28,195.89,196.89,192.5,193.64,216973,False
2026-07-27,195.0,197.21,192.5,195.49,876834,False
2026-07-24,189.94,192.5,188.0,190.7,160406,False
2026-07-23,191.5,193.0,189.0,190.72,177387,False
2026-07-22,194.67,195.0,191.0,191.84,125083,False
2026-07-21,195.0,200.0,192.0,194.67,133326,False
2026-07-20,193.0,194.0,190.0,193.33,128374,False
