date,open,high,low,close,volume,is_anomaly
2026-09-18,314.9,322.9,314.9,320.99,239927,False
2026-09-17,312.0,316.5,309.0,314.61,174861,False
2026-09-16,304.69,317.0,302.0,311.33,378979,False
2026-09-15,302.99,306.0,302.16,304.69,66322,False
2026-09-14,305.5,307.0,299.8,300.07,367867,False
2026-09-11,301.44,309.4,301.0,305.87,316591,False
2026-09-10,314.2,314.2,302.62,305.5,291315,False
2026-09-09,314.66,317.0,312.06,313.32,62993,False
2026-09-08,320.49,321.99,313.57,314.64,210309,False
2026-09-07,323.02,323.5,320.0,320.62,80168,False
2026-09-04,324.5,325.0,321.0,323.01,122258,False
2026-09-03,327.0,329.89,322.0,323.08,118223,False
2026-09-02,329.0,330.0,324.0,325.69,146924,False
2026-09-01,337.6,337.6,331.1,332.08,646217,False
2026-08-31,340.5,341.99,333.7,334.97,344884,False
2026-08-28,345.0,345.0,337.91,338.78,240952,False
2026-08-27,345.0,345.5,342.0,343.41,322065,False
2026-08-25,342.95,346.45,335.7,342.84,596822,False
2026-08-24,347.96,347.96,340.8,340.99,173738,False
2026-08-21,343.99,346.9,341.02,345.96,140389,False
2026-08-20,340.48,347.5,339.6,340.54,554697,False
2026-08-19,344.19,346.74,340.0,340.44,194033,False
2026-08-18,345.2,347.98,341.7,343.21,159489,False
2026-08-17,349.99,349.99,343.0,345.21,99357,False
2026-08-13,344.0,348.6,344.0,344.7,72717,False
2026-08-12,345.0,348.48,344.93,345.43,63596,False
2026-08-11,347.5,349.0,343.9,344.93,146992,False
2026-08-10,350.0,351.95,348.5,348.79,131027,False
2026-08-07,352.99,352.99,348.05,348.95,205576,False
2026-08-06,353.98,356.0,352.53,353.28,136230,False
2026-08-05,355.02,356.0,351.05,353.14,142976,False
2026-08-04,352.0,354.88,349.71,350.87,90776,False
2026-08-03,350.0,353.0,348.0,350.5,137467,False
2026-07-31,345.98,350.99,342.0,345.65,50997,False
2026-07-30,348.01,349.45,344.97,345.37,118670,False
2026-07-29,352.0,352.3,348.0,350.0,86849,False
2026-07-28,355.0,361.75,353.0,354.45,239005,False
2026-07-27,352.0,357.0,348.06,355.42,211518,False
2026-07-24,340.0,351.0,337.5,342.65,117513,False
2026-07-23,349.18,350.01,343.0,344.65,159994,False
2026-07-22,353.0,353.0,348.49,349.18,84316,False
2026-07-21,355.0,355.87,352.47,352.79,69540,False
2026-07-20,355.0,356.5,349.99,350.47,229781,False
2026-07-17,359.0,360.98,355.0,357.75,130207,False
2026-07-16,352.65,361.98,352.65,360.14,270467,False
2026-07-15,350.1,360.0,349.0,352.64,231416,False
2026-07-14,358.5,364.95,350.1,353.0,746000,False
2026-07-13,368.0,369.9,365.5,366.07,187726,False
2026-07-10,372.0,376.5,372.0,373.01,187081,False
2026-07-09,370.0,373.89,363.01,370.22,348661,False
2026-07-08,382.0,382.0,363.0,371.07,855967,False
2026-07-07,385.0,390.5,385.0,386.43,532566,False
2026-07-06,389.5,393.0,385.0,385.6,590511,False
2026-07-03,376.0,393.0,373.27,387.01,740176,False
2026-07-02,375.0,381.49,374.0,376.99,649622,False
2026-07-01,370.0,378.0,366.0,376.11,503092,False
2026-06-30,365.0,373.0,365.0,370.25,396486,False
2026-06-29,367.5,370.86,363.0,364.22,309601,False
2026-06-24,359.5,368.2,359.5,366.89,211025,False
2026-06-23,363.0,365.5,358.5,359.21,254984,False
2026-06-22,371.03,372.0,362.1,363.22,268309,False
2026-06-19,377.24,380.0,367.0,368.67,561541,False
2026-06-18,380.0,384.2,375.4,377.24,538731,False
2026-06-17,381.8,381.99,373.25,378.97,499182,False
2026-06-16,382.0,382.0,374.02,380.02,767307,False
2026-06-15,370.0,381.4,365.01,378.57,1029703,False
2026-06-12,351.0,358.0,348.11,353.38,188786,False
2026-06-11,345.0,349.0,345.0,347.18,52666,False
