date,open,high,low,close,volume,is_anomaly
2026-09-18,700.0,705.1,696.0,699.99,28831,False
2026-09-17,699.0,719.49,687.0,700.57,30634,False
2026-09-16,705.0,707.0,691.51,693.29,15552,False
2026-09-15,696.0,748.44,680.0,702.82,76051,False
2026-09-14,695.0,707.0,693.0,694.51,9155,False
2026-09-11,693.0,709.0,687.52,698.06,82351,False
2026-09-10,701.0,701.0,691.31,694.28,16292,False
2026-09-09,705.1,712.39,691.1,698.96,46446,False
2026-09-08,713.94,718.0,699.0,704.24,75813,False
2026-09-07,717.0,717.0,701.1,708.08,45385,False
2026-09-04,717.0,737.0,713.0,728.11,24001,False
2026-09-03,719.0,729.1,712.11,713.21,19912,False
2026-09-02,720.0,721.0,711.01,718.13,18799,False
2026-09-01,715.0,756.0,709.0,719.51,77485,False
2026-08-31,717.46,721.0,710.0,714.69,40581,False
2026-08-28,720.0,724.0,715.0,717.46,44175,False
2026-08-27,728.73,736.99,718.0,719.38,87048,False
2026-08-25,725.0,729.98,719.0,722.0,21033,False
2026-08-24,732.9,732.9,718.2,722.59,37193,False
2026-08-21,726.0,734.0,711.0,730.14,19063,False
2026-08-20,732.6,732.6,719.97,721.16,47690,False
2026-08-19,733.2,737.0,720.0,726.1,21247,False
2026-08-18,747.5,748.01,725.5,730.57,124073,False
2026-08-17,748.01,752.99,745.0,746.49,21774,False
2026-08-13,746.0,753.0,746.0,748.31,7582,False
2026-08-12,747.0,764.0,747.0,749.41,16767,False
2026-08-11,759.0,759.0,745.0,747.64,14597,False
2026-08-10,755.3,759.99,750.0,755.73,28315,False
2026-08-07,761.0,761.0,754.0,755.3,30245,False
2026-08-06,763.99,763.99,756.0,759.59,13445,False
2026-08-05,765.0,769.0,756.01,760.43,18454,False
2026-08-04,774.99,774.99,757.0,761.24,12807,False
2026-08-03,758.0,775.0,754.0,765.52,45402,False
2026-07-31,753.8,756.99,745.0,752.7,14690,False
2026-07-30,745.1,753.99,745.1,751.3,23277,False
2026-07-29,760.0,760.0,750.0,753.71,8169,False
2026-07-28,766.0,766.0,753.0,760.14,20564,False
2026-07-27,758.96,766.0,758.0,759.99,13429,False
2026-07-24,745.0,773.99,737.0,743.74,31948,False
2026-07-23,756.75,759.8,747.51,749.36,22178,False
2026-07-22,756.0,760.48,755.99,756.74,21616,False
2026-07-21,759.95,766.85,758.0,761.63,16841,False
2026-07-20,754.0,761.0,749.0,757.4,17582,False
2026-07-17,762.0,765.99,755.02,759.56,31980,False
2026-07-16,769.88,775.0,757.02,760.91,98243,False
2026-07-15,758.2,769.84,758.2,761.12,21669,False
2026-07-14,775.0,780.0,755.1,758.2,50076,False
2026-07-13,790.0,795.94,783.1,783.82,23637,False
2026-07-10,794.11,804.9,790.0,792.15,20749,False
2026-07-09,780.51,793.93,780.5,792.64,30123,False
2026-07-08,803.0,803.0,791.0,793.93,63109,False
2026-07-07,802.99,810.0,795.0,808.1,54791,False
2026-07-06,809.4,809.4,800.0,801.59,58869,False
2026-07-03,810.0,810.25,792.22,803.01,170188,False
2026-07-02,807.88,815.0,804.0,808.09,37246,False
2026-07-01,807.49,812.0,800.11,803.65,28552,False
2026-06-30,805.0,814.14,800.0,805.2,143500,False
2026-06-29,796.51,814.74,796.0,801.93,34422,False
2026-06-24,788.0,821.0,785.01,802.92,205693,False
2026-06-23,791.0,803.0,784.0,785.18,23983,False
2026-06-22,800.01,809.0,789.0,790.45,24908,False
2026-06-19,812.4,812.4,785.1,798.84,46901,False
2026-06-18,809.98,815.1,801.3,810.45,61801,False
2026-06-17,812.01,820.82,805.0,807.26,54026,False
2026-06-16,815.01,835.0,800.0,820.83,317844,False
2026-06-15,785.0,850.41,781.0,811.3,324217,False
2026-06-12,770.0,775.0,762.0,773.1,36518,False
2026-06-11,760.11,765.0,757.0,760.85,8446,False
2026-06-10,764.0,774.89,755.0,766.03,21758,False
2026-06-09,757.0,767.0,757.0,764.91,11203,False
2026-06-08,759.8,759.8,741.3,753.05,17376,False
2026-06-05,774.0,775.0,750.51,762.32,18902,False
2026-06-04,756.0,789.0,754.99,770.67,21137,False
2026-06-03,755.0,762.99,754.99,756.89,20018,False
2026-06-02,759.9,764.0,754.0,755.18,47539,False
2026-06-01,775.03,781.98,755.0,759.92,43862,False
2026-05-29,774.48,794.9,768.01,783.72,56572,False
2026-05-25,764.03,790.0,761.05,774.47,91099,False
2026-05-22,770.01,779.9,753.0,761.92,26562,False
2026-05-21,748.0,798.4,740.98,767.01,58802,False
2026-05-20,746.0,746.0,719.0,740.98,220448,False
2026-05-19,724.0,746.85,720.0,738.02,33520,False
2026-05-18,747.94,747.94,718.0,727.08,69792,False
2026-05-15,760.0,764.99,738.1,748.74,27610,False
2026-05-14,777.0,777.0,757.0,759.41,11327,False
2026-05-13,785.0,794.75,758.58,762.15,79693,False
2026-05-12,783.0,784.44,769.0,778.93,24148,False
2026-05-11,780.0,781.0,770.0,779.94,29323,False
2026-05-08,773.0,800.0,766.66,787.08,124886,False
2026-05-07,772.01,785.8,764.49,776.1,34394,False
2026-05-06,750.0,779.0,740.0,772.46,52015,False
2026-05-05,729.3,758.0,720.01,737.49,39002,False
2026-05-04,735.0,762.0,719.05,729.3,53511,False
2026-04-30,742.0,745.0,715.0,734.9,356207,False
2026-04-29,755.66,765.0,742.0,745.76,65931,False
2026-04-28,750.0,762.88,742.0,755.65,25165,False
2026-04-27,760.0,769.0,752.0,757.28,34623,False
2026-04-24,769.99,779.0,744.0,764.61,118138,False
2026-04-23,786.21,795.0,765.0,771.14,30958,False
2026-04-22,819.0,819.0,781.01,786.21,50918,False
2026-04-21,809.0,816.2,800.0,807.28,50326,False
2026-04-20,813.99,825.0,790.0,814.38,139848,False
2026-04-17,768.0,825.0,756.0,814.42,159378,False
2026-04-16,764.99,782.0,756.0,762.94,76200,False
2026-04-15,750.0,780.0,750.0,759.15,71747,False
2026-04-14,723.99,742.0,713.0,739.12,49917,False
2026-04-13,729.98,729.98,701.0,712.94,51399,False
2026-04-10,725.0,749.0,725.0,742.87,253030,False
2026-04-09,732.0,732.0,712.01,724.77,162316,False
2026-04-08,728.7,728.7,681.0,728.7,167670,False
2026-04-07,661.4,670.0,655.0,662.45,55407,False
2026-04-06,669.0,669.0,656.0,659.24,54979,False
2026-04-03,670.0,675.99,657.0,661.71,113529,False
2026-04-02,690.0,690.0,670.0,680.0,53818,False
2026-04-01,695.0,703.0,688.0,693.02,133036,False
2026-03-31,689.9,697.0,680.0,689.15,24084,False
2026-03-30,711.0,711.0,680.0,681.06,80523,False
2026-03-27,709.0,729.89,695.0,699.92,80387,False
2026-03-26,749.0,749.0,709.0,714.0,85448,False
2026-03-25,730.0,750.0,725.01,740.1,34682,False
2026-03-24,730.0,755.0,721.02,724.77,29508,False
2026-03-19,718.0,718.0,690.5,712.63,85713,False
2026-03-18,706.5,720.0,700.0,719.42,42311,False
2026-03-17,706.61,718.99,699.51,700.79,42713,False
2026-03-16,719.86,719.86,700.01,706.61,37720,False
2026-03-13,725.0,725.0,704.0,719.86,27638,False
2026-03-12,739.98,739.98,719.99,725.14,28193,False
2026-03-11,750.0,750.0,721.0,726.24,37842,False
2026-03-10,706.01,759.45,706.01,737.45,169095,False
2026-03-09,751.07,765.0,699.16,699.16,140026,False
2026-03-06,778.0,783.45,770.0,776.84,28041,False
2026-03-05,799.0,802.0,751.0,779.31,170640,False
2026-03-04,781.0,809.9,781.0,794.84,45195,False
2026-03-03,789.0,824.74,765.2,791.67,73314,False
2026-03-02,786.29,830.0,786.29,786.29,91195,False
2026-02-27,872.09,885.0,866.0,873.65,16398,False
2026-02-26,858.0,888.0,855.0,872.09,54064,False
2026-02-25,890.0,923.0,861.02,866.83,15502,False
2026-02-24,894.0,899.0,855.0,883.54,47017,False
2026-02-23,895.0,906.0,881.51,890.65,10439,False
2026-02-20,900.01,909.0,882.2,900.84,12686,False
2026-02-19,913.25,919.9,892.0,892.84,18381,False
2026-02-18,909.19,919.9,905.0,913.12,11541,False
2026-02-17,879.74,908.0,879.74,905.2,53797,False
2026-02-16,930.0,930.0,895.01,900.21,48104,False
2026-02-13,921.5,935.0,891.0,927.94,27721,False
2026-02-12,939.0,939.0,920.0,925.06,29581,False
2026-02-11,939.9,939.9,929.0,930.07,9803,False
2026-02-10,930.0,940.44,925.0,934.56,12967,False
