date,open,high,low,close,volume,is_anomaly
2026-09-18,915.0,939.0,906.0,928.3,4100,False
2026-09-17,911.11,912.99,904.01,905.2,10948,False
2026-09-16,922.0,922.0,908.12,910.09,4860,False
2026-09-15,921.5,921.7,906.0,908.77,18139,False
2026-09-14,925.5,929.98,915.0,921.48,3568,False
2026-09-11,911.5,936.0,905.0,924.6,10529,False
2026-09-10,924.9,924.9,910.0,910.96,11688,False
2026-09-09,929.9,930.49,909.07,913.82,18943,False
2026-09-08,922.05,944.9,911.2,924.15,13040,False
2026-09-07,934.9,934.9,920.0,922.05,16378,False
2026-09-04,944.9,944.9,925.0,930.78,26706,False
2026-09-03,931.0,944.9,926.6,937.18,12912,False
2026-09-02,934.1,934.1,921.2,925.66,12320,False
2026-09-01,935.0,950.0,927.0,928.47,14626,False
2026-08-31,951.0,956.0,928.0,934.86,18231,False
2026-08-28,957.44,959.9,940.0,950.47,14864,False
2026-08-27,979.9,979.9,950.0,955.47,25361,False
2026-08-25,978.49,985.0,968.0,970.39,55433,False
2026-08-24,990.0,993.5,971.0,975.15,6311,False
2026-08-21,977.4,993.77,977.4,987.43,4995,False
2026-08-20,984.0,998.99,975.0,977.3,60307,False
2026-08-19,990.0,1000.0,981.0,983.09,13575,False
2026-08-18,995.0,1007.0,981.56,989.29,20988,False
2026-08-17,1000.01,1010.0,992.0,994.49,9554,False
2026-08-13,996.0,1010.0,996.0,1003.54,5359,False
2026-08-12,1006.0,1030.0,990.02,994.96,6013,False
2026-08-11,1000.02,1015.0,990.0,1007.51,17128,False
2026-08-10,1019.9,1019.9,1000.0,1009.37,5981,False
2026-08-07,1000.0,1038.99,985.01,1010.69,18799,False
2026-08-06,981.0,1010.11,981.0,1008.66,25841,False
2026-08-05,982.0,997.0,977.8,992.3,21451,False
2026-08-04,979.0,984.9,977.94,977.95,3129,False
2026-08-03,990.01,997.0,970.0,978.41,52033,False
2026-07-31,980.0,985.0,975.01,983.46,3109,False
2026-07-30,988.0,988.0,955.0,972.46,19249,False
2026-07-29,995.0,998.0,983.0,988.11,8339,False
2026-07-28,1007.84,1007.84,990.0,996.04,6606,False
2026-07-27,969.02,1057.0,969.02,999.95,34747,False
2026-07-24,974.0,974.99,954.5,961.21,10530,False
2026-07-23,998.8,998.8,962.0,965.57,17377,False
2026-07-22,989.99,999.0,977.0,985.9,7936,False
2026-07-21,999.9,999.9,980.01,988.49,17909,False
2026-07-20,980.13,990.0,960.01,988.58,13499,False
2026-07-17,985.68,986.0,969.99,980.13,30967,False
2026-07-16,970.0,988.8,970.0,985.68,18921,False
2026-07-15,968.0,989.9,967.01,969.77,18811,False
2026-07-14,989.99,992.0,921.0,968.18,48594,False
2026-07-13,1012.0,1018.0,999.5,1001.07,16040,False
2026-07-10,1000.01,1040.0,1000.01,1020.54,14336,False
2026-07-09,1010.0,1020.0,1000.0,1003.28,47184,False
2026-07-08,1057.99,1057.99,1008.5,1010.35,40627,False
2026-07-07,1063.0,1068.0,1049.0,1049.8,44579,False
2026-07-06,1070.0,1075.0,1056.0,1060.42,33616,False
2026-07-03,1048.0,1075.0,1035.0,1054.67,93895,False
2026-07-02,1009.9,1052.1,1009.9,1034.8,56020,False
2026-07-01,1009.0,1018.0,999.01,1007.54,141439,False
2026-06-30,996.0,1007.0,992.0,1002.7,30818,False
2026-06-29,1000.0,1000.12,987.95,991.04,19822,False
2026-06-24,979.9,1024.99,978.0,997.93,44859,False
2026-06-23,981.51,987.0,970.0,975.39,54919,False
2026-06-22,996.0,996.79,980.0,981.48,32054,False
2026-06-19,984.9,991.89,966.0,980.06,23510,False
2026-06-18,989.9,994.9,978.0,978.77,111007,False
2026-06-17,999.9,1039.0,981.0,984.48,176738,False
2026-06-16,992.0,1000.0,990.91,998.24,38666,False
2026-06-15,972.01,999.0,972.01,991.04,114628,False
2026-06-12,969.48,975.0,960.0,962.59,63602,False
2026-06-11,970.0,970.0,960.0,962.97,11805,False
2026-06-10,973.0,973.0,962.02,964.92,20500,False
2026-06-09,968.0,979.0,964.11,968.98,11887,False
2026-06-08,981.3,983.48,967.0,968.97,13009,False
2026-06-05,980.0,994.89,975.0,978.5,9140,False
2026-06-04,979.75,997.99,971.0,976.28,5941,False
2026-06-03,990.0,1000.0,969.51,971.42,43655,False
2026-06-02,961.0,1000.25,961.0,993.89,74705,False
2026-06-01,984.9,989.0,955.0,965.5,33035,False
2026-05-29,968.17,974.0,951.3,969.89,19146,False
2026-05-25,954.9,971.0,949.0,968.17,18605,False
2026-05-22,945.1,955.0,943.2,949.99,27575,False
2026-05-21,935.0,951.0,935.0,943.32,55898,False
2026-05-20,949.9,949.9,929.5,930.17,12736,False
2026-05-19,948.0,948.0,938.0,941.07,3217,False
2026-05-18,953.95,953.95,932.0,942.31,7457,False
2026-05-15,954.89,957.49,945.01,952.52,3340,False
2026-05-14,954.9,959.0,949.0,949.4,4202,False
2026-05-13,955.0,964.9,950.01,951.68,4291,False
2026-05-12,972.0,972.0,958.0,958.59,8253,False
2026-05-11,975.0,980.0,950.0,974.77,26846,False
2026-05-08,935.1,980.0,935.1,978.0,16980,False
2026-05-07,969.9,974.01,955.0,959.46,11174,False
2026-05-06,940.0,975.0,926.26,961.92,71433,False
2026-05-05,911.11,937.8,911.11,925.0,7154,False
2026-05-04,919.9,939.0,919.9,929.87,9813,False
2026-04-30,944.99,944.99,901.1,913.44,21557,False
2026-04-29,949.9,960.0,935.01,940.17,12056,False
2026-04-28,961.0,989.74,945.03,948.87,13547,False
2026-04-27,955.0,990.2,954.0,962.26,33211,False
2026-04-24,941.0,1047.49,910.0,955.52,24926,False
2026-04-23,973.8,973.8,941.0,952.26,28895,False
2026-04-22,989.99,989.99,950.56,964.97,21770,False
2026-04-21,1030.0,1036.5,1001.2,1035.7,125181,False
2026-04-20,1028.0,1038.12,1010.0,1028.48,20727,False
2026-04-17,1029.9,1049.0,1021.0,1036.72,46829,False
2026-04-16,1045.0,1045.0,1024.0,1028.86,19693,False
2026-04-15,1032.0,1052.0,1025.0,1031.96,77250,False
2026-04-14,1000.0,1029.99,995.0,1026.77,31437,False
2026-04-13,974.0,1018.0,951.11,994.61,47326,False
2026-04-10,974.0,1010.0,972.9,998.05,137931,False
2026-04-09,925.0,980.0,905.01,972.9,164678,False
2026-04-08,920.02,920.02,900.0,920.02,376072,False
2026-04-07,850.0,850.0,834.01,836.38,12847,False
2026-04-06,831.0,870.0,831.0,849.94,16441,False
2026-04-03,832.0,861.0,830.01,850.94,3571,False
2026-04-02,858.47,858.47,845.0,849.8,46381,False
2026-04-01,868.0,872.0,852.0,858.47,27289,False
2026-03-31,842.0,869.0,842.0,858.58,6247,False
2026-03-30,857.0,869.0,822.0,840.5,8184,False
2026-03-27,878.95,878.95,857.0,857.86,3791,False
2026-03-26,895.01,910.0,866.0,867.95,13448,False
2026-03-25,910.8,910.8,892.01,895.36,18781,False
2026-03-24,899.99,929.0,880.01,903.98,9585,False
2026-03-19,877.68,965.43,849.3,866.6,14848,False
2026-03-18,899.89,900.0,871.2,877.68,48573,False
2026-03-17,888.99,905.99,868.11,880.03,9121,False
2026-03-16,876.0,898.0,860.1,887.26,26972,False
2026-03-13,885.02,900.0,870.0,898.92,32960,False
2026-03-12,814.0,900.0,814.0,898.08,35221,False
2026-03-11,776.25,830.0,776.25,827.9,13000,False
2026-03-10,800.0,831.11,765.2,775.95,72900,False
2026-03-09,819.0,819.0,755.56,755.56,25219,False
2026-03-06,879.9,879.9,835.0,839.51,25061,False
2026-03-05,887.58,899.9,860.0,866.12,50258,False
2026-03-04,905.0,919.95,881.22,887.58,10041,False
2026-03-03,912.0,938.99,885.0,909.29,42959,False
2026-03-02,911.0,961.0,874.72,877.0,36674,False
2026-02-27,948.0,979.0,938.98,971.91,4032,False
2026-02-26,935.0,988.19,926.1,949.17,10496,False
2026-02-25,979.8,989.8,933.11,941.29,15016,False
2026-02-24,1004.9,1009.9,952.2,971.88,13198,False
2026-02-23,1004.9,1030.0,997.5,999.97,83309,False
2026-02-20,1004.9,1009.03,971.2,1003.92,2536,False
2026-02-19,1014.0,1019.0,991.1,995.03,14521,False
2026-02-18,1009.9,1035.0,1009.9,1013.36,57561,False
2026-02-17,1024.9,1029.9,997.0,999.94,8143,False
2026-02-16,1038.95,1038.95,1005.0,1018.44,15809,False
2026-02-13,1029.9,1036.33,1011.0,1034.01,3254,False
2026-02-12,1039.88,1039.88,1020.0,1026.88,37854,False
