date,open,high,low,close,volume,is_anomaly
2026-09-18,78.72,81.15,78.71,80.05,1671088,False
2026-09-17,77.2,78.8,77.2,78.46,1506318,False
2026-09-16,78.0,78.18,76.62,76.97,1308440,False
2026-09-15,78.49,79.13,78.07,78.19,943002,False
2026-09-14,79.0,79.85,77.5,78.08,1469308,False
2026-09-11,78.4,80.7,76.62,79.91,1522603,False
2026-09-10,81.1,81.72,78.8,79.05,1525343,False
2026-09-09,82.11,83.35,80.51,81.04,1180163,False
2026-09-08,84.25,84.46,81.4,82.59,2329467,False
2026-09-07,84.24,85.15,83.81,84.04,536701,False
2026-09-04,84.88,84.88,84.0,84.4,787975,False
2026-09-03,84.7,85.75,84.5,84.83,1027182,False
2026-09-02,85.51,86.0,84.05,84.14,1797821,False
2026-09-01,86.9,88.2,85.85,85.99,1367800,False
2026-08-31,88.32,88.88,86.5,86.76,2388329,False
2026-08-28,89.97,89.97,88.45,88.52,1055606,False
2026-08-27,90.0,90.98,89.0,89.37,2681678,False
2026-08-25,88.01,90.4,88.01,88.78,5305167,False
2026-08-24,88.02,89.76,87.6,87.79,1952641,False
2026-08-21,88.66,88.9,87.35,87.67,1507752,False
2026-08-20,88.7,89.7,88.35,88.55,1092531,False
2026-08-19,89.52,90.1,88.12,88.61,1218638,False
2026-08-18,90.48,91.63,89.11,89.52,1885120,False
2026-08-17,91.0,91.0,89.95,90.03,1049110,False
2026-08-13,91.0,91.5,90.0,90.19,914336,False
2026-08-12,90.04,91.1,90.04,90.62,620596,False
2026-08-11,91.3,92.11,90.1,90.39,943172,False
2026-08-10,91.5,92.52,91.0,91.39,1077900,False
2026-08-07,92.0,93.05,90.75,91.26,1674943,False
2026-08-06,91.4,92.4,91.0,92.2,1993019,False
2026-08-05,92.0,92.0,90.49,91.02,1647944,False
2026-08-04,91.0,91.0,89.55,90.07,569143,False
2026-08-03,91.0,92.0,90.65,90.84,1437311,False
2026-07-31,90.07,91.19,89.61,89.79,1541579,False
2026-07-30,89.1,90.0,89.01,89.68,804944,False
2026-07-29,91.4,91.4,89.78,89.91,2012430,False
2026-07-28,93.48,93.55,91.7,91.98,1578709,False
2026-07-27,91.0,93.51,90.12,93.01,3213146,False
2026-07-24,88.0,89.5,87.26,88.41,1229272,False
2026-07-23,91.5,91.5,88.1,88.65,1283332,False
2026-07-22,90.71,91.7,90.0,90.42,977532,False
2026-07-21,93.3,94.25,91.01,91.48,2076007,False
2026-07-20,90.0,93.2,89.05,92.69,2259242,False
2026-07-17,92.8,93.59,91.1,91.52,2153441,False
2026-07-16,90.5,92.6,90.5,92.3,1358821,False
2026-07-15,90.14,91.99,90.14,90.49,1561543,False
2026-07-14,92.7,93.0,90.3,90.47,2688843,False
2026-07-13,94.1,94.89,93.35,94.11,2153312,False
2026-07-10,96.01,97.2,95.22,95.48,2962744,False
2026-07-09,94.02,96.54,94.0,95.48,3857804,False
2026-07-08,98.65,98.65,93.25,95.06,9355524,False
2026-07-07,99.5,101.25,98.8,99.16,9171320,False
2026-07-06,97.2,99.8,96.0,98.99,10541626,False
2026-07-03,96.55,97.0,95.5,96.13,2188773,False
2026-07-02,95.0,98.1,94.58,96.67,8301257,False
2026-07-01,94.98,95.5,94.0,94.58,1983501,False
