date,open,high,low,close,volume,is_anomaly
2026-09-18,39.0,47.5,39.0,43.21,104,False
2026-09-17,35.55,43.21,35.55,43.21,8694,False
2026-09-16,37.01,43.21,37.01,39.28,301,False
2026-09-15,36.0,39.28,36.0,39.28,71,False
2026-09-14,33.0,39.28,33.0,39.28,1152,False
2026-09-11,33.0,36.99,33.0,35.71,285,False
2026-09-10,33.01,34.01,33.01,35.71,3,True
2026-09-09,38.5,38.5,33.05,35.71,700,False
2026-09-08,35.0,35.01,35.0,35.0,1115,False
2026-09-07,35.0,35.0,35.0,35.0,15536,False
2026-09-04,32.26,32.26,32.26,35.07,1,True
2026-09-03,32.4,32.4,32.4,35.07,1,True
2026-09-02,31.5,38.0,31.5,35.07,2749,False
2026-09-01,34.91,34.95,31.02,34.85,4255,False
2026-08-31,30.01,34.95,30.01,31.77,452,False
2026-08-28,34.95,34.95,34.95,31.77,46,True
2026-08-25,32.0,32.91,29.9,31.77,3400,False
2026-08-24,29.92,29.92,29.92,29.92,1851,False
2026-08-21,29.92,29.92,29.92,27.2,260,True
2026-08-19,29.0,29.92,29.0,27.2,15,True
2026-08-17,25.0,25.0,25.0,27.2,1,True
2026-08-13,27.1,27.5,27.1,27.2,2516,False
2026-08-12,29.92,29.92,29.92,29.92,500,False
2026-08-11,29.92,29.92,29.92,27.2,10,True
2026-08-07,29.92,29.92,29.92,27.2,10,True
2026-08-06,27.8,27.8,27.8,27.2,200,True
2026-08-03,24.51,24.51,24.51,27.2,1,True
2026-07-29,27.2,27.2,27.19,27.2,1500,False
2026-07-28,27.2,27.2,24.01,24.73,11,False
2026-07-27,23.02,27.2,23.02,24.73,151,False
2026-07-24,22.61,22.61,22.61,24.73,1,True
2026-07-23,0.0,0.0,0.0,24.73,1,True
2026-07-22,27.2,27.2,27.2,24.73,2,True
2026-07-16,27.2,27.2,27.2,24.73,1,True
2026-07-15,27.2,27.2,27.2,24.73,120,True
2026-07-14,27.2,27.2,27.2,24.73,163,True
2026-07-13,27.2,27.2,27.2,24.73,225,True
2026-07-07,27.2,27.2,24.75,24.73,2,True
2026-07-06,27.2,27.2,27.2,24.73,200,True
2026-07-03,21.2,24.73,21.2,24.73,59006,False
2026-06-23,21.55,21.55,21.55,22.48,1,True
2026-06-22,21.1,21.1,21.1,22.48,1,True
2026-06-19,20.25,20.25,20.25,22.48,1,True
2026-06-18,21.1,21.1,21.1,22.48,1,True
2026-06-17,22.5,22.5,22.5,22.48,1,True
2026-06-15,21.1,21.1,21.1,22.48,1,True
2026-06-11,21.1,21.1,21.1,22.48,1,True
2026-06-09,21.1,21.1,21.1,22.48,1,True
2026-06-05,21.3,21.3,21.3,22.48,1,True
2026-06-04,21.3,21.3,21.3,22.48,21,True
2026-06-03,21.3,21.3,21.3,22.48,1,True
2026-06-02,0.0,0.0,0.0,22.48,1,True
2026-06-01,22.48,22.48,22.48,22.48,3000,False
2026-05-22,21.1,21.1,21.1,22.48,1,True
2026-05-21,22.51,22.51,22.51,22.48,1,True
2026-05-18,22.48,22.48,22.48,22.48,72697,False
2026-05-15,23.01,23.01,22.61,24.48,2,True
2026-05-12,22.51,22.51,22.51,24.48,1,True
2026-05-07,22.5,22.92,22.5,24.48,6,True
2026-05-06,23.0,23.0,23.0,24.48,10,True
2026-05-05,24.5,24.5,24.43,24.48,1832,False
2026-05-04,27.1,27.15,23.11,27.14,1502,False
2026-04-30,22.6,22.6,22.6,24.68,1,True
2026-04-29,27.15,27.15,27.15,24.68,500,True
2026-04-28,24.68,24.68,24.68,24.68,650,False
2026-04-27,24.68,24.68,24.68,22.44,250,True
2026-04-24,22.44,22.44,22.44,22.44,6605,False
2026-04-22,22.44,22.44,22.44,20.4,5,True
2026-04-21,23.32,23.32,20.4,20.4,550,False
2026-04-20,19.1,23.32,19.1,21.2,101,False
2026-04-17,21.5,21.5,21.2,21.2,501,False
2026-04-16,23.76,23.76,22.0,21.6,200,True
2026-04-15,21.5,21.5,21.5,21.6,1,True
2026-04-14,23.76,23.76,23.76,21.6,325,True
2026-04-10,20.01,20.01,20.01,21.6,1,True
2026-04-09,21.55,21.6,21.55,21.6,101,False
2026-04-08,23.75,23.75,23.75,21.6,1,True
2026-04-06,19.51,19.51,19.51,21.6,2,True
2026-04-03,20.01,20.01,20.01,21.6,1,True
2026-04-02,22.02,22.02,21.6,21.6,2300,False
2026-04-01,22.0,22.0,22.0,24.0,2,True
2026-03-31,21.6,21.6,21.6,24.0,1,True
2026-03-26,24.0,24.0,24.0,24.0,985,False
2026-03-19,26.24,26.25,26.24,26.24,1010,False
2026-02-16,28.25,29.16,28.25,29.16,50000,False
2026-02-12,27.25,27.25,27.25,26.51,15,True
2026-02-10,26.25,26.25,26.25,26.51,15,True
2026-02-06,26.51,26.51,26.51,26.51,2095,False
2026-02-04,26.51,26.51,26.51,26.72,100,True
2026-02-02,26.75,26.75,26.51,26.72,2805,False
2026-01-29,27.25,27.25,27.01,27.01,4481,False
2026-01-28,27.25,27.25,27.25,27.51,250,True
2026-01-27,27.25,27.25,27.25,27.51,269,True
2026-01-22,27.51,27.51,27.51,27.51,2500,False
2026-01-21,30.0,30.0,30.0,30.0,100,False
2026-01-20,28.34,31.99,28.34,30.0,994,False
2026-01-19,31.49,31.49,31.44,31.49,4717,False
2026-01-16,27.85,31.2,27.85,31.19,790,False
2026-01-15,0.0,0.0,0.0,30.67,805,True
2026-01-14,30.68,30.68,30.68,30.67,800,True
2026-01-13,30.67,30.67,30.67,30.67,285,False
2026-01-12,33.97,33.97,29.7,30.67,5285,False
2026-01-09,34.0,34.0,29.7,33.0,107,False
2026-01-08,33.98,33.98,33.0,33.0,3012,False
2026-01-07,34.76,34.76,32.0,33.99,2747,False
2026-01-06,34.99,34.99,31.6,31.6,544,False
2026-01-05,31.5,32.15,31.4,32.15,6593,False
2026-01-02,32.15,32.15,26.7,29.23,406,False
2026-01-01,34.45,34.45,28.22,29.23,818,False
2025-12-31,29.0,31.36,29.0,31.36,960,False
2025-12-30,30.5,32.95,28.0,28.51,2980,False
2025-12-29,34.47,34.47,31.02,31.06,2417,False
2025-12-26,39.0,39.0,34.46,34.47,3012,False
2025-12-24,38.31,38.31,35.11,38.29,12414,False
2025-12-23,31.66,34.83,31.66,34.83,4579,False
2025-12-22,31.66,31.66,30.0,31.66,4992,False
2025-12-19,29.24,29.24,26.0,28.78,538,False
2025-12-18,26.6,29.24,26.6,26.58,189,True
2025-12-17,28.52,29.0,24.24,26.58,188,False
2025-12-16,26.55,32.3,26.55,26.58,707,False
2025-12-12,26.56,32.0,26.56,29.5,281,False
2025-12-10,30.0,30.0,28.55,29.5,445,False
2025-12-09,32.4,32.4,32.4,29.5,24,True
2025-12-08,32.32,32.32,32.32,29.5,1,True
2025-12-05,0.0,0.0,0.0,29.5,20,True
2025-12-04,29.5,29.5,28.55,29.5,10451,False
2025-12-03,0.0,0.0,0.0,28.55,20,True
2025-12-02,28.25,28.25,26.0,28.55,93,True
2025-12-01,28.54,28.55,28.54,28.55,2120,False
2025-11-28,28.0,28.55,26.0,25.95,266,True
2025-11-27,28.47,28.47,28.47,25.95,10,True
2025-11-25,0.0,0.0,0.0,25.95,100,True
2025-11-20,0.0,0.0,0.0,25.95,1,True
2025-11-18,23.36,23.36,23.36,25.95,320,True
2025-11-13,26.0,28.55,26.0,25.95,105,True
2025-11-12,0.0,0.0,0.0,25.95,8,True
2025-11-10,24.5,24.5,24.5,25.95,340,True
2025-11-07,24.14,24.14,24.14,25.95,658,True
2025-11-03,23.55,23.55,23.55,25.95,4,True
2025-10-31,23.4,28.55,23.4,25.95,1095,False
2025-10-30,26.0,26.0,21.5,25.95,922,False
2025-10-29,23.64,28.85,23.64,23.65,2032,False
2025-10-27,24.0,24.0,24.0,26.27,1,True
2025-10-21,28.9,28.9,24.0,26.27,24,False
2025-10-15,0.0,0.0,0.0,26.27,12,True
2025-10-13,28.0,28.0,28.0,26.27,13,True
2025-10-10,27.7,27.7,27.7,26.27,10,True
2025-10-08,27.01,27.01,26.0,26.27,1230,False
2025-10-07,30.0,30.0,30.0,28.0,832,True
2025-10-06,29.9,29.95,29.9,28.0,1101,True
2025-10-03,28.0,30.0,28.0,28.0,2121,False
2025-10-02,27.55,28.0,26.0,28.0,4630,False
2025-10-01,21.32,25.45,21.32,25.45,9063,False
2025-09-29,24.9,24.9,20.89,23.14,188,False
2025-09-26,24.98,24.98,24.98,23.14,21,True
2025-09-25,24.52,24.52,22.16,23.14,1279,False
2025-09-24,26.0,26.0,22.15,22.29,3695,False
2025-09-23,24.71,24.71,20.26,24.53,3502,False
2025-09-22,23.0,23.0,23.0,22.46,285,True
2025-09-19,23.0,23.0,23.0,21.3,315,True
2025-09-18,21.0,25.0,21.0,21.3,636,False
2025-09-17,22.81,23.1,22.79,22.9,2300,False
2025-09-16,0.0,0.0,0.0,25.32,110,True
2025-09-15,22.8,26.5,22.8,25.32,606,False
2025-09-12,22.8,27.0,22.8,25.32,201,False
2025-09-11,26.0,27.0,23.0,25.32,328,False
2025-09-10,27.0,27.0,22.8,25.32,266,False
2025-09-09,22.79,26.0,22.79,25.32,306,False
2025-09-08,25.32,25.32,25.32,25.32,100,False
2025-09-05,26.0,26.0,26.0,25.32,8,True
2025-09-04,25.0,28.48,25.0,25.32,1685,False
2025-09-03,26.0,26.0,26.0,26.0,579,False
2025-09-02,25.0,28.07,23.5,24.79,1200,False
2025-09-01,25.5,27.5,25.5,25.52,165,False
2025-08-28,25.0,25.0,25.0,25.0,1,False
2025-08-22,25.0,25.0,25.0,25.0,10,False
2025-08-20,25.0,25.0,25.0,25.0,25,False
2025-08-18,26.0,26.0,26.0,25.0,160,True
2025-08-15,0.0,0.0,0.0,25.0,201,True
2025-08-13,25.0,25.0,25.0,25.0,1,False
2025-08-08,25.0,25.0,25.0,25.0,100,False
2025-08-07,0.0,0.0,0.0,25.0,2,True
2025-08-06,22.5,27.0,22.5,25.0,412,False
2025-08-05,23.0,23.0,23.0,25.0,3,True
2025-08-04,23.5,25.0,22.0,25.0,1004,False
2025-08-01,22.5,23.0,22.5,23.0,704,False
2025-07-17,21.0,21.0,21.0,22.0,1,True
2025-07-16,20.0,23.0,20.0,22.0,201,False
2025-07-15,23.0,23.0,23.0,22.0,200,True
2025-07-10,22.0,22.0,22.0,22.0,1000,False
2025-07-09,22.4,22.4,22.0,22.24,821,False
2025-07-07,22.0,23.0,22.0,23.0,1700,False
2025-07-04,22.0,22.0,22.0,22.0,500,False
2025-07-02,0.0,0.0,0.0,22.0,15,True
2025-07-01,19.8,22.0,19.8,22.0,250,False
2025-06-24,19.95,22.0,19.95,22.0,247,False
2025-06-23,24.2,24.2,20.0,22.0,57,False
2025-06-18,22.0,22.0,22.0,22.0,30,False
2025-06-17,22.0,22.0,22.0,22.0,70,False
2025-06-10,22.0,22.0,22.0,22.0,1000,False
2025-06-05,22.0,22.0,22.0,22.0,100,False
2025-06-04,22.0,22.0,22.0,22.0,600,False
2025-06-03,21.5,21.5,21.5,21.5,4684,False
2025-06-02,21.0,21.0,21.0,21.0,145,False
2025-05-30,21.0,21.0,21.0,19.5,1,True
2025-05-29,19.75,19.75,19.75,19.5,41,True
2025-05-19,19.5,19.5,19.5,19.5,2000,False
2025-05-13,19.9,19.91,19.9,19.9,501,False
2025-05-05,0.0,0.0,0.0,22.02,1,True
2025-04-25,22.2,22.2,22.2,22.02,1,True
