date,open,high,low,close,volume,is_anomaly
2026-09-18,62.5,65.64,62.5,64.37,5902888,False
2026-09-17,62.06,63.9,61.3,61.9,2256993,False
2026-09-16,62.49,63.39,61.78,62.06,683392,False
2026-09-15,63.55,63.64,62.16,62.66,1160089,False
2026-09-14,63.0,63.28,61.5,61.89,970762,False
2026-09-11,61.95,63.99,60.16,63.29,2852436,False
2026-09-10,65.88,67.4,62.2,63.3,2336548,False
2026-09-09,64.0,69.0,63.41,65.86,6454129,False
2026-09-08,64.62,65.25,62.8,63.56,833518,False
2026-09-07,65.01,65.69,64.21,64.62,810454,False
2026-09-04,66.0,66.11,64.5,65.71,1327583,False
2026-09-03,65.89,66.89,65.72,65.87,520942,False
2026-09-02,66.0,66.98,65.5,66.04,1024480,False
2026-09-01,68.55,69.0,67.2,67.46,550372,False
2026-08-31,66.0,69.45,65.22,68.18,3701398,False
2026-08-28,66.3,66.5,65.52,65.86,1084612,False
2026-08-27,67.4,67.45,65.8,65.99,1239126,False
2026-08-25,67.5,67.7,66.5,66.81,480833,False
2026-08-24,67.89,67.89,66.17,67.14,1106055,False
2026-08-21,67.48,67.89,66.5,67.3,771896,False
2026-08-20,68.91,68.91,67.2,67.48,1081327,False
2026-08-19,68.5,69.45,67.91,68.23,1126485,False
2026-08-18,70.65,71.01,68.25,68.71,2854699,False
2026-08-17,70.0,71.3,69.21,69.96,2928318,False
2026-08-13,68.6,72.3,68.6,69.8,6060838,False
2026-08-12,69.9,70.5,68.26,68.56,1549279,False
2026-08-11,71.1,71.74,69.59,69.96,2515974,False
2026-08-10,72.99,73.0,70.21,71.29,2740266,False
2026-08-07,72.5,74.6,71.6,71.98,15207765,False
2026-08-06,65.86,72.35,65.6,72.18,9024118,False
2026-08-05,65.5,66.4,65.2,65.77,946149,False
2026-08-04,66.19,66.5,64.62,65.05,658446,False
2026-08-03,66.9,67.49,65.5,65.98,1087916,False
2026-07-31,66.37,66.8,65.5,65.62,754750,False
2026-07-30,65.9,66.73,65.4,65.85,535022,False
2026-07-29,67.49,67.49,65.0,66.25,813187,False
2026-07-28,68.88,68.88,66.6,67.3,1918566,False
2026-07-27,65.89,68.3,65.61,67.61,3269999,False
2026-07-24,64.01,66.3,63.12,64.65,1268581,False
2026-07-23,67.5,67.5,64.52,64.88,1060876,False
2026-07-22,68.25,68.4,66.26,66.57,1136808,False
2026-07-21,67.51,70.88,67.32,67.7,3642189,False
2026-07-20,67.0,67.5,65.8,67.31,1209094,False
2026-07-17,69.87,71.5,67.16,67.79,4129951,False
2026-07-16,64.8,71.21,64.5,69.87,5584384,False
2026-07-15,63.1,66.0,63.1,64.74,825553,False
2026-07-14,65.0,66.8,62.52,62.93,1628637,False
2026-07-13,67.4,67.69,66.0,67.06,1363412,False
2026-07-10,69.46,69.52,68.19,68.49,1090851,False
2026-07-09,69.3,70.79,68.1,68.85,1718176,False
2026-07-08,71.5,71.5,67.92,69.99,1961603,False
2026-07-07,73.97,73.97,71.51,71.71,1851641,False
2026-07-06,74.44,74.47,73.27,73.38,1271015,False
2026-07-03,74.6,74.6,73.24,73.72,1808414,False
