date,open,high,low,close,volume,is_anomaly
2026-09-18,34.0,35.3,30.13,34.25,10396556,False
2026-09-17,31.65,33.48,30.63,33.48,7436218,False
2026-09-16,27.98,30.49,27.5,30.44,7975702,False
2026-09-15,27.94,28.8,27.5,27.72,806139,False
2026-09-14,27.0,28.44,27.0,27.48,438219,False
2026-09-11,29.14,29.29,27.01,27.8,1732975,False
2026-09-10,29.69,30.8,27.23,28.96,2541937,False
2026-09-09,30.85,30.99,28.76,29.14,930917,False
2026-09-08,30.7,33.85,29.06,30.75,2968917,False
2026-09-07,34.84,34.84,30.49,30.79,3439724,False
2026-09-04,31.0,32.45,31.0,32.45,1321698,False
2026-09-03,26.5,29.5,25.15,29.5,1959460,False
2026-09-02,28.74,28.98,26.7,26.82,1373967,False
2026-09-01,30.96,31.5,28.2,28.74,1254714,False
2026-08-31,33.9,33.9,30.7,30.96,1918370,False
2026-08-28,30.7,36.0,30.7,33.89,5218430,False
2026-08-27,41.41,41.42,33.89,33.89,10885447,False
2026-08-25,35.01,37.65,35.01,37.65,1013864,False
2026-08-24,30.99,34.23,29.0,34.23,7146721,False
2026-08-21,31.12,31.12,28.9,31.12,3239959,False
2026-08-20,28.29,28.29,28.29,28.29,41821,False
2026-08-19,25.72,25.72,25.72,25.72,21522,False
2026-08-18,67.5,69.8,61.75,63.5,2107107,False
2026-08-17,70.3,70.5,67.25,67.62,950501,False
2026-08-13,70.1,71.25,68.05,70.2,1383240,False
2026-08-12,69.99,69.99,65.9,67.86,807317,False
2026-08-11,67.89,71.6,67.0,68.99,1388345,False
2026-08-10,69.5,69.9,67.06,67.79,1181368,False
2026-08-07,73.0,73.46,68.76,69.94,1559110,False
2026-08-06,73.0,76.6,72.35,73.53,1999955,False
2026-08-05,76.0,76.0,73.1,73.97,1278256,False
2026-08-04,72.0,77.88,72.0,75.25,4786055,False
2026-08-03,75.0,75.57,70.25,71.23,1454258,False
2026-07-31,77.5,77.5,73.0,73.45,1277346,False
2026-07-30,73.98,77.5,71.9,76.17,2935038,False
2026-07-29,70.0,76.7,67.02,75.52,4227854,False
2026-07-28,77.99,78.0,69.65,70.57,2727564,False
2026-07-27,77.0,77.07,73.12,76.65,3030873,False
2026-07-24,60.55,70.84,58.25,70.06,7927478,False
2026-07-23,64.4,71.44,64.4,64.4,3452573,False
2026-07-22,75.0,83.0,71.55,71.55,3790693,False
2026-07-21,85.0,92.44,79.05,79.5,9340060,False
2026-07-20,87.83,87.83,87.83,87.83,248197,False
2026-07-17,103.0,106.0,97.59,97.59,529764,False
2026-07-16,119.5,119.9,108.43,108.43,1402409,False
2026-07-15,122.0,125.0,114.7,120.48,2767149,False
2026-07-14,116.86,120.0,114.0,117.9,2629366,False
2026-07-13,113.0,122.99,108.51,117.04,3880834,False
2026-07-10,109.99,115.02,100.0,113.61,5207312,False
2026-07-09,104.56,104.56,104.56,104.56,582104,False
2026-07-08,95.05,95.05,95.05,95.05,186296,False
2026-07-07,120.0,129.07,105.61,105.61,2702812,False
2026-07-06,117.34,117.34,117.34,117.34,1005295,False
2026-07-03,103.98,106.67,98.01,106.67,4026407,False
2026-07-02,96.97,96.97,96.97,96.97,1137800,False
2026-07-01,81.0,88.15,81.0,88.15,4958617,False
2026-06-30,75.94,80.14,67.1,80.14,6760279,False
2026-06-29,72.85,72.85,71.9,72.85,827965,False
2026-06-24,59.0,66.23,56.25,66.23,4070983,False
2026-06-23,70.0,73.59,60.21,60.21,4983347,False
2026-06-22,62.49,66.9,62.0,66.9,1382627,False
2026-06-19,57.6,60.82,56.52,60.82,2232434,False
2026-06-18,50.89,55.29,50.89,55.29,1979922,False
2026-06-17,52.5,52.5,49.81,50.26,470735,False
2026-06-16,52.0,54.6,50.26,51.58,2452199,False
2026-06-15,53.99,53.99,49.25,50.42,1684717,False
2026-06-12,55.7,56.2,51.51,52.33,1988979,False
2026-06-11,53.9,57.0,53.18,54.75,3180535,False
2026-06-10,54.0,56.99,52.1,54.06,3538392,False
2026-06-09,55.3,55.3,49.49,53.05,9329462,False
2026-06-08,46.0,50.27,45.5,50.27,2705242,False
2026-06-05,47.51,48.5,45.15,45.7,1078553,False
2026-06-04,46.01,49.0,45.99,47.31,2709988,False
2026-06-03,45.9,48.77,44.15,46.19,1293322,False
2026-06-02,49.49,52.49,43.41,46.01,6044309,False
2026-06-01,48.08,48.08,43.71,48.08,2033029,False
2026-05-29,43.71,43.71,43.71,43.71,88807,False
2026-05-25,39.7,39.74,37.0,39.74,2194217,False
2026-05-22,36.13,36.13,36.13,36.13,694750,False
2026-05-21,42.13,48.1,40.14,40.14,5077486,False
2026-05-20,44.6,44.6,44.6,44.6,323538,False
2026-05-19,50.52,55.81,49.55,49.55,2552900,False
2026-05-18,56.12,57.9,55.05,55.05,4835225,False
2026-05-15,64.26,72.87,61.17,61.17,4644080,False
2026-05-14,75.0,78.0,67.97,67.97,2244593,False
2026-05-13,75.38,86.8,75.38,75.52,3974546,False
2026-05-12,83.07,87.1,71.26,83.76,1743171,False
2026-05-11,75.0,79.18,75.0,79.18,1185351,False
2026-05-08,65.6,71.98,65.44,71.98,1468179,False
2026-05-07,65.44,65.44,59.49,65.44,4760902,False
2026-05-06,59.49,59.49,59.49,59.49,197671,False
2026-05-05,46.01,54.08,44.24,54.08,4794111,False
2026-05-04,46.11,52.21,44.6,49.16,5838883,False
2026-04-30,47.46,47.46,47.46,47.46,81715,False
2026-04-29,64.45,64.45,52.73,52.73,5714528,False
2026-04-28,58.58,58.59,48.56,58.59,3316311,False
2026-04-27,53.26,53.26,52.0,53.26,1490655,False
2026-04-24,45.55,48.42,45.55,48.42,2048497,False
2026-04-23,40.5,44.02,40.5,44.02,1641842,False
2026-04-22,36.37,40.02,36.37,40.02,4196362,False
2026-04-21,35.99,36.38,35.0,36.38,1048000,False
2026-04-20,30.06,33.07,30.06,33.07,6211810,False
2026-04-17,30.77,30.77,28.5,30.06,1877592,False
2026-04-16,30.35,32.3,29.0,29.86,3652550,False
2026-04-15,31.3,32.22,29.15,30.3,2756973,False
2026-04-14,29.0,30.97,28.55,30.7,3963234,False
2026-04-13,28.0,30.97,27.52,28.15,4944706,False
2026-04-10,29.73,29.73,29.73,29.73,436679,False
2026-04-09,27.03,27.03,25.01,27.03,1946895,False
2026-04-08,24.57,24.57,24.57,24.57,398417,False
2026-04-07,20.52,22.86,20.01,22.34,961664,False
2026-04-06,20.0,22.12,19.81,20.79,797035,False
2026-04-03,21.0,22.3,19.5,20.3,1037205,False
2026-04-02,19.1,22.1,18.08,21.23,1846347,False
2026-04-01,19.49,20.83,19.3,20.09,1565152,False
2026-03-31,18.6,19.07,17.5,19.07,1286389,False
2026-03-30,16.8,17.34,15.34,17.34,1172041,False
2026-03-27,15.0,15.76,14.0,15.76,1093669,False
2026-03-26,14.8,14.8,14.11,14.33,83640,False
2026-03-25,14.9,15.19,14.5,14.65,239647,False
2026-03-24,15.0,15.5,13.66,14.69,193202,False
2026-03-19,15.0,15.0,14.01,14.53,32117,False
2026-03-18,14.33,15.25,14.25,14.88,106415,False
2026-03-17,14.49,15.14,14.1,14.28,44735,False
2026-03-16,14.42,14.9,13.8,14.06,173930,False
2026-03-13,15.67,15.67,14.25,14.42,116791,False
2026-03-12,14.61,16.4,14.61,15.44,169880,False
2026-03-11,14.86,16.01,14.6,15.48,775264,False
2026-03-10,13.51,14.55,13.51,14.55,243817,False
2026-03-09,14.51,14.51,13.23,13.23,119724,False
2026-03-06,15.89,16.1,14.17,14.7,232272,False
2026-03-05,14.59,15.17,13.9,15.14,918329,False
2026-03-04,13.79,14.6,12.5,13.79,527113,False
2026-03-03,13.26,15.45,13.25,13.76,270473,False
2026-03-02,14.61,15.0,14.57,14.57,131113,False
2026-02-27,16.3,17.1,15.85,16.19,364258,False
2026-02-26,17.0,18.4,15.74,17.54,1234830,False
2026-02-25,19.0,19.0,17.49,17.49,555371,False
2026-02-24,21.49,21.98,19.43,19.43,895894,False
2026-02-23,23.21,23.99,21.55,21.59,258038,False
2026-02-20,25.15,25.15,22.13,23.94,221227,False
2026-02-19,26.47,26.47,24.5,24.59,116520,False
2026-02-18,26.0,26.1,25.0,25.9,454281,False
2026-02-17,25.99,26.0,24.0,25.59,630769,False
2026-02-16,25.5,26.43,24.86,25.6,679436,False
2026-02-13,26.3,26.3,25.0,25.33,206516,False
