date,open,high,low,close,volume,is_anomaly
2026-07-31,130.06,132.25,130.0,130.45,766136,False
2026-07-30,133.0,133.0,129.7,129.97,1555772,False
2026-07-29,134.99,134.99,131.7,132.53,929681,False
2026-07-28,136.87,136.87,133.85,135.01,1746526,False
2026-07-27,135.3,136.99,134.1,135.87,1900263,False
2026-07-24,133.25,134.5,131.47,132.24,1132846,False
2026-07-23,135.62,136.71,134.0,134.47,703067,False
2026-07-22,136.5,138.5,135.2,135.62,1926190,False
2026-07-21,137.4,143.0,137.1,137.83,2089646,False
2026-07-20,136.0,139.0,135.0,137.26,1476169,False
2026-07-17,141.12,142.45,136.12,137.11,1431972,False
2026-07-16,139.0,141.99,138.5,141.12,1956544,False
2026-07-15,138.0,140.0,138.0,139.07,843235,False
2026-07-14,141.0,141.49,136.36,138.13,1714555,False
2026-07-13,142.7,143.13,141.0,141.86,1050849,False
2026-07-10,144.5,146.0,142.0,143.51,1100955,False
2026-07-09,142.51,145.0,140.91,143.27,1881258,False
2026-07-08,147.8,148.0,143.0,144.0,2598535,False
2026-07-07,149.5,150.0,147.72,148.28,2477174,False
2026-07-06,149.68,149.75,149.3,149.48,1845753,False
2026-07-03,150.0,150.0,148.5,149.41,1276023,False
2026-07-02,150.0,150.0,147.95,149.04,2506984,False
2026-07-01,147.9,150.0,147.81,149.57,1614217,False
2026-06-30,148.5,150.85,145.0,147.09,4088849,False
2026-06-29,149.93,150.0,147.7,147.95,1017228,False
2026-06-24,150.0,150.84,149.25,149.93,1144815,False
2026-06-23,151.88,151.88,149.0,149.43,3130532,False
2026-06-22,152.75,153.4,149.52,150.05,968922,False
2026-06-19,155.16,155.69,150.14,151.18,1711788,False
2026-06-18,155.5,156.0,154.1,155.16,1920778,False
2026-06-17,156.5,158.0,154.0,155.54,2036077,False
2026-06-16,153.99,157.0,153.2,155.72,5696030,False
2026-06-15,154.0,155.31,151.5,153.68,2487366,False
2026-06-12,148.0,150.75,147.51,147.81,1984640,False
2026-06-11,146.0,147.5,146.0,146.92,359474,False
2026-06-10,146.0,147.5,146.0,146.46,689354,False
2026-06-09,147.8,148.2,146.9,147.72,431309,False
2026-06-08,147.9,147.93,145.5,146.66,745042,False
2026-06-05,149.5,150.0,147.85,147.97,1358190,False
2026-06-04,149.4,150.11,148.0,148.89,2987666,False
2026-06-03,147.5,150.0,147.5,148.86,1329800,False
2026-06-02,147.73,150.01,147.5,147.8,818206,False
2026-06-01,150.01,152.99,146.8,147.73,1628855,False
2026-05-29,151.5,151.78,148.5,149.88,2761164,False
2026-05-25,152.01,153.49,149.0,151.78,1167199,False
2026-05-22,152.41,152.8,148.75,150.0,939084,False
2026-05-21,151.0,152.3,150.01,151.81,458856,False
2026-05-20,148.0,149.95,147.3,149.74,333256,False
2026-05-19,148.0,151.24,146.16,147.32,989712,False
2026-05-18,149.3,149.99,146.5,147.5,676792,False
2026-05-15,150.88,151.0,149.1,149.52,1247482,False
2026-05-14,153.47,153.47,148.07,149.21,490305,False
2026-05-13,153.49,154.65,151.05,151.98,872693,False
2026-05-12,156.0,157.0,153.0,153.49,1213738,False
2026-05-11,153.0,157.0,152.0,155.3,1956484,False
2026-05-08,154.0,154.89,151.0,153.89,1478618,False
2026-05-07,155.49,156.0,153.0,155.41,2686131,False
