date,open,high,low,close,volume,is_anomaly
2026-08-25,58.3,59.89,53.69,55.22,11701169,False
2026-08-24,60.0,60.5,57.51,58.24,2922296,False
2026-08-21,62.08,62.29,59.72,60.15,3813016,False
2026-08-20,60.47,62.34,59.8,61.91,12645319,False
2026-08-19,59.49,60.25,58.4,59.97,2663492,False
2026-08-18,59.76,60.15,58.25,58.88,2088563,False
2026-08-17,61.0,61.0,59.51,60.15,1081494,False
2026-08-13,60.69,60.99,59.73,60.09,976857,False
2026-08-12,59.99,61.13,59.1,60.29,1755262,False
2026-08-11,61.13,61.5,59.25,59.84,1859163,False
2026-08-10,63.4,63.41,60.64,61.13,2815416,False
2026-08-07,62.99,63.44,62.03,63.29,3952281,False
2026-08-06,61.5,62.55,61.0,62.37,4710037,False
2026-08-05,61.7,61.8,60.76,61.41,2535596,False
2026-08-04,61.0,61.44,60.55,60.67,787051,False
2026-08-03,61.95,61.98,60.13,60.81,5102495,False
2026-07-31,62.0,62.5,60.5,60.85,1916218,False
2026-07-30,61.01,62.9,61.0,61.8,5006333,False
2026-07-29,60.39,61.32,59.55,61.0,2236812,False
2026-07-28,60.4,61.8,60.0,60.39,3790851,False
2026-07-27,60.15,60.6,59.6,60.05,3108894,False
2026-07-24,58.4,60.6,56.05,58.97,6011105,False
2026-07-23,60.97,60.97,55.1,56.89,2946727,False
2026-07-22,59.99,60.6,59.0,59.26,674486,False
2026-07-21,60.69,61.0,59.6,60.14,1211808,False
2026-07-20,59.0,60.5,57.9,60.22,1150371,False
2026-07-17,61.0,61.81,59.79,60.03,3387762,False
2026-07-16,58.0,61.2,57.5,60.45,2746917,False
2026-07-15,58.01,59.75,55.12,57.63,4196490,False
2026-07-14,63.1,63.5,57.66,58.81,3691786,False
2026-07-13,65.1,65.1,63.8,64.07,902305,False
2026-07-10,65.17,66.05,65.17,65.58,1014039,False
2026-07-09,64.0,65.65,63.81,65.17,1250284,False
2026-07-08,68.14,68.14,63.0,64.5,3864514,False
2026-07-07,67.7,68.11,66.7,67.5,4806759,False
2026-07-06,67.48,67.68,66.91,67.3,2006526,False
2026-07-03,69.01,70.02,67.25,67.62,11322165,False
2026-07-02,64.9,68.5,64.81,67.84,10081847,False
2026-07-01,64.05,65.33,63.7,64.31,3732529,False
2026-06-30,63.68,64.5,63.5,63.67,2005403,False
2026-06-29,64.5,64.89,63.0,63.36,5256210,False
2026-06-24,65.0,66.08,64.0,64.4,5557363,False
2026-06-23,66.5,66.5,64.7,64.9,2533590,False
2026-06-22,67.7,67.7,65.0,65.95,4440941,False
2026-06-19,70.2,71.05,66.15,66.68,7995966,False
2026-06-18,70.42,71.2,69.65,69.84,6184621,False
2026-06-17,71.0,71.38,69.69,69.96,5587913,False
2026-06-16,69.5,71.75,69.11,70.42,9599086,False
2026-06-15,70.98,71.0,67.8,68.85,6957467,False
2026-06-12,71.5,72.1,69.3,69.78,6715558,False
2026-06-11,70.52,71.2,70.3,70.59,2613218,False
2026-06-10,71.0,72.4,70.35,70.98,4798074,False
2026-06-09,70.5,73.1,70.5,71.67,19523819,False
2026-06-08,70.06,70.5,68.9,69.54,5045154,False
