date,open,high,low,close,volume,is_anomaly
2026-09-18,123.61,132.59,123.16,129.03,1009559,False
2026-09-17,124.8,124.8,123.0,123.56,255618,False
2026-09-16,123.32,124.5,121.82,123.04,329072,False
2026-09-15,124.0,125.0,123.0,123.41,463892,False
2026-09-14,125.4,125.4,122.11,123.11,529307,False
2026-09-11,124.0,126.74,118.61,125.79,1126396,False
2026-09-10,128.5,128.98,124.25,124.94,881405,False
2026-09-09,129.0,130.36,128.0,128.32,310644,False
2026-09-08,131.5,131.5,128.8,129.85,427031,False
2026-09-07,132.59,132.59,130.1,130.62,385962,False
2026-09-04,131.12,133.2,131.02,132.64,516487,False
2026-09-03,131.55,132.95,131.0,131.46,284659,False
2026-09-02,132.0,132.29,130.8,131.74,274681,False
2026-09-01,133.98,134.7,132.5,132.61,391212,False
2026-08-31,133.0,136.99,131.8,133.98,1012927,False
2026-08-28,133.0,134.39,131.51,133.41,1014707,False
2026-08-27,130.8,133.0,130.79,131.92,607013,False
2026-08-25,131.4,132.08,128.99,129.51,1222041,False
2026-08-24,132.08,133.0,131.01,131.37,841372,False
2026-08-21,131.8,132.78,131.0,131.87,258172,False
2026-08-20,134.0,134.9,130.8,131.71,613736,False
2026-08-19,132.71,136.0,132.71,133.93,401421,False
2026-08-18,135.86,135.86,132.96,133.11,567369,False
2026-08-17,135.51,136.97,135.0,135.86,388791,False
2026-08-13,136.49,136.6,135.25,135.69,273659,False
2026-08-12,137.01,137.5,135.5,136.09,324212,False
2026-08-11,137.0,137.4,135.52,136.21,487833,False
2026-08-10,137.6,138.6,137.05,137.71,330644,False
2026-08-07,138.98,138.98,137.05,137.54,382158,False
2026-08-06,138.51,139.5,138.0,138.98,594489,False
2026-08-05,136.05,138.87,135.51,137.71,960864,False
2026-08-04,135.83,136.15,134.21,134.33,390444,False
2026-08-03,136.11,137.0,135.3,135.83,551420,False
2026-07-31,134.0,136.4,133.5,133.9,563017,False
2026-07-30,136.32,136.9,132.34,133.99,695158,False
2026-07-29,138.85,138.85,136.11,137.07,612228,False
2026-07-28,143.0,143.0,138.5,139.32,995906,False
2026-07-27,136.5,147.18,136.5,142.0,2331257,False
2026-07-24,135.43,137.97,133.1,133.8,1845981,False
2026-07-23,132.64,137.98,129.88,135.43,3522608,False
2026-07-22,134.98,134.98,132.0,132.64,1343376,False
2026-07-21,137.01,138.25,134.57,134.73,1939835,False
2026-07-20,138.01,139.0,134.99,136.17,2137481,False
2026-07-17,143.7,144.99,138.99,139.53,989879,False
2026-07-16,143.8,145.7,143.48,143.59,722792,False
2026-07-15,143.5,145.2,142.61,144.03,724899,False
2026-07-14,144.12,145.95,142.0,142.25,1222620,False
2026-07-13,150.0,150.75,149.02,149.69,677193,False
2026-07-10,149.0,156.49,149.0,153.18,1016451,False
2026-07-09,148.0,151.0,148.0,149.94,771303,False
2026-07-08,155.0,155.0,146.01,151.07,1716661,False
2026-07-07,157.0,157.0,154.8,155.05,1117363,False
2026-07-06,157.98,158.0,156.6,156.97,706929,False
2026-07-03,158.0,159.45,156.37,156.95,1025342,False
2026-07-02,159.5,161.4,158.5,158.71,1214655,False
2026-07-01,158.3,161.4,157.99,158.59,2063854,False
2026-06-30,154.92,157.49,154.92,156.94,1527658,False
2026-06-29,156.0,157.49,153.93,154.92,746571,False
2026-06-24,158.27,159.95,155.9,156.38,1908093,False
2026-06-23,161.74,161.98,157.01,158.27,1656926,False
2026-06-22,162.91,165.0,160.0,160.69,1469870,False
2026-06-19,165.97,166.5,160.06,162.91,1877479,False
2026-06-18,167.0,167.89,163.8,164.73,1770595,False
2026-06-17,167.98,168.99,161.05,165.27,1723774,False
2026-06-16,159.5,169.4,158.5,166.69,6287661,False
2026-06-15,159.99,161.47,155.5,158.63,2574152,False
2026-06-12,156.5,157.7,154.99,155.29,2498618,False
2026-06-11,154.0,162.5,154.0,155.2,6158439,False
2026-06-10,155.25,157.05,152.5,154.73,589256,False
2026-06-09,155.5,158.5,155.0,155.86,1326422,False
2026-06-08,152.0,155.43,148.63,154.17,1018716,False
2026-06-05,155.45,156.5,151.2,152.63,1024947,False
2026-06-04,149.92,154.05,149.92,153.79,859621,False
2026-06-03,152.5,152.5,147.2,149.92,1318716,False
2026-06-02,155.0,157.35,152.5,153.04,1114596,False
2026-06-01,151.99,158.51,150.0,154.88,4717621,False
2026-05-29,151.8,153.6,150.0,152.6,1609709,False
2026-05-25,152.0,152.4,149.5,150.43,1850282,False
2026-05-22,149.4,153.98,147.51,149.85,4121715,False
2026-05-21,146.5,150.8,146.5,148.87,1571566,False
2026-05-20,141.03,147.0,140.0,146.21,1858586,False
2026-05-19,140.0,143.0,139.0,140.77,794794,False
2026-05-18,146.99,146.99,138.35,138.84,1278649,False
2026-05-15,148.0,149.99,145.51,147.53,588588,False
2026-05-14,148.5,151.5,144.56,149.11,1648697,False
2026-05-13,151.4,152.3,146.1,146.76,1709051,False
2026-05-12,148.0,155.01,148.0,150.04,6450489,False
2026-05-11,141.0,150.56,140.0,146.61,2459799,False
2026-05-08,142.0,143.83,140.21,142.61,824179,False
2026-05-07,141.0,145.3,139.5,144.21,1281431,False
2026-05-06,134.99,140.5,134.99,139.54,1158456,False
2026-05-05,132.39,132.9,130.81,132.0,373918,False
2026-05-04,132.1,136.5,132.1,133.41,858448,False
2026-04-30,133.8,133.8,128.25,130.92,915103,False
2026-04-29,139.9,141.45,134.0,134.55,1088084,False
2026-04-28,137.07,140.95,137.07,139.52,561734,False
2026-04-27,143.0,143.5,140.15,141.45,508509,False
2026-04-24,138.99,143.98,136.91,142.87,760854,False
2026-04-23,140.8,141.5,138.2,139.9,634776,False
2026-04-22,143.0,143.5,141.0,141.86,648725,False
2026-04-21,146.0,147.0,144.5,144.86,876236,False
2026-04-20,148.8,148.95,139.75,144.36,2814482,False
2026-04-17,145.85,151.74,144.26,149.05,4927415,False
2026-04-16,144.83,145.2,141.1,144.03,1913835,False
2026-04-15,143.5,147.8,142.05,143.3,3236052,False
2026-04-14,138.0,141.11,137.0,140.51,1660488,False
2026-04-13,135.25,138.0,133.01,134.34,1092878,False
2026-04-10,138.89,143.5,138.89,142.61,2547105,False
2026-04-09,138.8,143.99,135.0,138.68,2224023,False
2026-04-08,137.82,137.82,136.01,137.82,862221,False
2026-04-07,123.0,125.8,122.0,125.29,669164,False
2026-04-06,123.0,126.55,121.11,124.58,913552,False
2026-04-03,124.5,126.9,118.5,122.97,2632064,False
2026-04-02,126.99,128.8,124.31,128.47,451583,False
2026-04-01,127.01,134.0,127.01,131.97,1267567,False
2026-03-31,124.4,127.1,118.0,124.0,2101696,False
2026-03-30,133.89,133.89,120.55,124.4,1661963,False
2026-03-27,137.11,137.35,133.02,133.94,325613,False
2026-03-26,137.01,138.48,135.1,135.53,651806,False
2026-03-25,137.5,140.9,135.5,139.97,1325736,False
2026-03-24,140.0,142.0,134.31,135.49,680856,False
2026-03-19,138.35,138.95,134.51,136.86,1571444,False
2026-03-18,140.8,140.8,138.11,139.93,896771,False
2026-03-17,138.5,140.99,136.11,139.68,1105414,False
2026-03-16,138.0,140.15,134.11,137.51,842931,False
2026-03-13,136.0,140.75,135.0,139.68,757017,False
2026-03-12,138.69,140.0,135.0,135.95,813102,False
2026-03-11,142.6,144.0,137.26,138.69,2337161,False
2026-03-10,143.0,147.87,142.25,142.91,1843054,False
2026-03-09,137.26,145.78,137.26,137.26,454417,False
2026-03-06,159.11,159.5,150.5,152.51,850354,False
2026-03-05,156.45,159.95,155.25,159.03,561235,False
2026-03-04,159.0,161.0,155.0,156.45,600360,False
2026-03-03,154.0,163.0,149.5,160.44,1722052,False
2026-03-02,147.27,156.5,147.27,149.26,1861865,False
2026-02-27,166.5,166.5,162.0,163.63,463318,False
2026-02-26,158.99,168.01,154.02,167.12,568798,False
2026-02-25,164.0,164.8,156.0,157.39,566234,False
2026-02-24,161.79,166.97,154.66,162.17,980986,False
2026-02-23,162.44,163.5,158.0,161.79,694778,False
2026-02-20,161.01,164.0,152.0,162.43,894847,False
2026-02-19,175.99,175.99,157.11,160.64,784470,False
2026-02-18,172.0,175.0,170.1,174.54,517519,False
2026-02-17,172.12,173.0,168.12,170.64,954857,False
2026-02-16,179.5,179.6,168.72,170.38,1465384,False
2026-02-13,175.11,179.9,175.11,178.07,547197,False
2026-02-12,182.5,182.99,174.5,176.79,1201637,False
2026-02-11,183.0,183.99,182.1,182.37,659216,False
2026-02-10,185.01,186.0,182.25,182.94,709552,False
2026-02-09,183.27,185.75,182.16,183.79,1521987,False
2026-02-06,186.0,186.34,181.11,183.27,1130464,False
2026-02-04,186.75,188.0,184.4,185.39,1101003,False
2026-02-03,183.98,187.7,183.5,186.3,1271463,False
2026-02-02,184.0,184.0,175.61,183.41,835616,False
2026-01-30,182.0,188.99,181.4,183.46,1487832,False
2026-01-29,185.5,188.0,179.0,181.38,2371896,False
2026-01-28,188.5,189.0,185.45,186.53,1342006,False
2026-01-27,184.9,189.98,183.0,187.01,3266518,False
2026-01-26,186.0,188.03,184.1,184.9,2324535,False
2026-01-23,187.5,191.9,186.05,187.11,3801422,False
2026-01-22,189.9,193.11,185.02,186.83,7681045,False
2026-01-21,186.05,189.89,183.0,184.42,2854750,False
2026-01-20,185.0,187.5,184.51,185.28,1136238,False
2026-01-19,185.0,186.3,184.55,185.29,831772,False
2026-01-16,183.84,187.0,183.65,184.06,2412375,False
2026-01-15,186.11,187.78,181.0,181.8,1534781,False
2026-01-14,190.0,191.51,184.75,185.43,2165665,False
2026-01-13,185.01,191.3,180.01,189.5,3374781,False
