date,open,high,low,close,volume,is_anomaly
2026-09-18,28.05,28.77,28.0,28.4,133191,False
2026-09-17,28.19,28.19,27.7,28.04,137833,False
2026-09-16,28.01,28.3,27.9,27.96,98175,False
2026-09-15,28.3,28.3,27.75,27.99,213844,False
2026-09-14,28.06,28.28,27.72,27.97,292798,False
2026-09-11,28.35,28.35,27.47,28.06,356410,False
2026-09-10,28.75,28.75,27.8,27.93,468048,False
2026-09-09,29.38,29.38,28.66,28.75,267706,False
2026-09-08,30.0,30.19,28.71,29.0,544253,False
2026-09-07,29.01,30.7,28.82,29.99,1233790,False
2026-09-04,29.3,29.4,28.87,29.01,237016,False
2026-09-03,29.49,29.49,28.94,29.18,153069,False
2026-09-02,29.7,29.7,29.0,29.1,387403,False
2026-09-01,30.49,30.49,29.01,29.67,319116,False
2026-08-31,29.3,31.29,28.81,30.05,1646966,False
2026-08-28,31.0,31.3,28.91,29.18,1744666,False
2026-08-27,31.5,31.5,30.75,30.81,840983,False
2026-08-25,31.75,31.97,31.23,31.27,863776,False
2026-08-24,33.0,33.0,31.6,31.64,957608,False
2026-08-21,33.0,33.11,32.51,32.59,325724,False
2026-08-20,32.78,33.5,32.52,32.66,705302,False
2026-08-19,33.0,33.25,32.57,32.78,324107,False
2026-08-18,33.64,33.88,32.81,32.98,1066000,False
2026-08-17,32.79,34.37,32.0,33.2,1917198,False
2026-08-13,32.36,32.8,32.36,32.51,256113,False
2026-08-12,32.55,32.89,32.05,32.37,168166,False
2026-08-11,32.3,32.7,32.3,32.58,334920,False
2026-08-10,33.0,33.24,32.25,32.63,411098,False
2026-08-07,32.6,33.16,32.52,32.93,400081,False
2026-08-06,32.8,32.9,32.58,32.75,520760,False
2026-08-05,31.75,32.99,31.5,32.49,873657,False
2026-08-04,31.6,31.94,31.4,31.44,292783,False
2026-08-03,31.89,31.95,31.46,31.54,260932,False
2026-07-31,32.0,32.2,31.32,31.38,354897,False
2026-07-30,32.2,32.2,31.0,31.89,245921,False
2026-07-29,32.4,32.7,31.9,32.11,248542,False
2026-07-28,32.99,33.05,32.4,32.49,304007,False
2026-07-27,32.0,32.69,32.0,32.42,502700,False
2026-07-24,32.0,32.43,31.01,31.33,499993,False
2026-07-23,32.68,32.68,31.9,32.06,369467,False
2026-07-22,32.5,32.99,32.25,32.67,292574,False
2026-07-21,32.6,33.19,32.6,32.82,289992,False
2026-07-20,33.0,33.0,32.11,32.7,393125,False
2026-07-17,33.43,33.65,33.04,33.12,257922,False
2026-07-16,33.43,33.45,33.0,33.38,190190,False
2026-07-15,33.0,33.89,32.9,33.01,420186,False
2026-07-14,33.88,33.99,32.88,33.0,640656,False
2026-07-13,34.01,34.46,34.01,34.24,382843,False
2026-07-10,34.96,34.99,34.5,34.67,529287,False
2026-07-09,34.0,34.78,34.0,34.62,374631,False
2026-07-08,35.55,36.2,33.63,34.09,1291191,False
2026-07-07,36.25,36.25,35.55,35.65,382183,False
2026-07-06,35.52,36.25,35.52,36.1,479871,False
2026-07-03,36.28,36.28,35.55,35.83,557108,False
2026-07-02,36.48,36.48,35.53,35.84,862547,False
2026-07-01,36.05,36.59,35.86,36.19,693563,False
2026-06-30,35.51,36.55,35.51,36.04,569256,False
2026-06-29,37.28,37.75,35.35,35.51,2628738,False
2026-06-24,37.01,37.99,36.5,37.58,1973476,False
2026-06-23,38.1,38.1,36.42,36.98,2671185,False
2026-06-22,39.51,40.44,37.65,37.92,7467835,False
2026-06-19,35.0,38.39,34.16,38.39,5756360,False
2026-06-18,34.47,35.19,34.02,34.9,1829173,False
2026-06-17,34.49,34.49,34.0,34.11,574923,False
2026-06-16,34.15,34.47,34.15,34.35,799112,False
2026-06-15,34.98,34.98,34.05,34.15,1150820,False
2026-06-12,34.45,35.0,34.0,34.04,1431074,False
2026-06-11,34.0,35.3,33.21,34.42,2946549,False
2026-06-10,34.1,34.5,33.58,33.94,516340,False
2026-06-09,33.25,35.2,33.12,33.99,1404010,False
2026-06-08,33.3,33.45,33.0,33.12,269537,False
2026-06-05,33.2,33.92,33.2,33.65,489177,False
2026-06-04,33.09,33.6,32.99,33.37,414011,False
2026-06-03,33.5,33.7,33.0,33.09,353528,False
2026-06-02,33.87,34.4,33.5,33.58,195393,False
2026-06-01,34.05,34.39,33.8,33.85,629758,False
2026-05-29,34.2,34.66,33.84,34.05,1131859,False
2026-05-25,34.32,34.69,33.51,33.85,913572,False
2026-05-22,34.65,34.65,33.61,34.01,529161,False
2026-05-21,34.3,34.76,34.06,34.21,534749,False
2026-05-20,33.4,34.3,32.9,33.69,523971,False
2026-05-19,33.01,34.47,33.01,33.58,331738,False
2026-05-18,34.69,34.7,33.26,33.42,699452,False
2026-05-15,35.2,35.5,34.5,34.82,620454,False
2026-05-14,36.5,37.09,36.1,36.42,789249,False
2026-05-13,37.67,37.95,36.31,36.41,1520366,False
2026-05-12,38.89,39.19,37.31,37.67,1826972,False
2026-05-11,36.8,39.38,36.41,38.45,4429340,False
2026-05-08,35.65,38.0,35.46,37.17,3862439,False
2026-05-07,34.48,36.6,34.4,36.04,3271221,False
2026-05-06,33.49,34.48,32.51,34.09,2341327,False
2026-05-05,33.01,33.2,32.62,33.01,365278,False
