date,open,high,low,close,volume,is_anomaly
2026-09-18,7.6,8.48,7.6,8.45,48504878,False
2026-09-17,7.65,8.19,7.5,7.6,42158741,False
2026-09-16,7.7,7.87,7.57,7.65,19618833,False
2026-09-15,7.75,7.89,7.3,7.7,39881590,False
2026-09-14,6.75,7.77,6.66,7.64,52841083,False
2026-09-11,6.79,7.5,6.4,6.92,35452662,False
2026-09-10,6.8,6.85,6.2,6.7,29478820,False
2026-09-09,7.2,7.44,6.65,6.83,17857272,False
2026-09-08,7.5,8.66,6.76,6.92,103045158,False
2026-09-07,7.15,7.66,7.08,7.66,12548555,False
2026-09-04,5.61,6.66,5.61,6.66,25866848,False
2026-09-03,5.52,6.04,5.35,5.66,5498170,False
2026-09-02,5.35,5.6,5.05,5.35,1017184,False
2026-09-01,5.44,5.56,5.33,5.35,247569,False
2026-08-31,5.5,5.6,5.32,5.44,880423,False
2026-08-28,5.52,5.65,5.43,5.45,1218296,False
2026-08-27,5.56,5.67,5.53,5.56,331845,False
2026-08-25,5.63,5.65,5.52,5.56,380580,False
2026-08-24,5.63,5.68,5.5,5.51,817222,False
2026-08-21,5.53,5.78,5.42,5.49,2245157,False
2026-08-20,5.72,5.83,5.63,5.65,813793,False
2026-08-19,5.72,5.85,5.72,5.74,425286,False
2026-08-18,5.99,6.08,5.75,5.77,1445654,False
2026-08-17,5.96,6.05,5.9,5.92,1361982,False
2026-08-13,6.06,6.22,5.91,5.93,2213654,False
2026-08-12,6.07,6.09,6.0,6.02,657590,False
2026-08-11,6.19,6.25,5.95,5.99,3018131,False
2026-08-10,6.37,6.69,6.16,6.25,10936684,False
2026-08-07,5.99,6.38,5.94,6.3,7313028,False
2026-08-06,5.92,6.14,5.92,6.01,1889621,False
2026-08-05,5.85,5.99,5.85,5.91,533963,False
2026-08-04,5.95,6.02,5.84,5.85,1437512,False
2026-08-03,6.05,6.19,5.95,5.96,1214094,False
2026-07-31,5.9,6.11,5.9,5.94,2446906,False
2026-07-30,5.9,6.07,5.8,5.91,2364142,False
2026-07-29,5.9,6.27,5.83,5.99,5168169,False
2026-07-28,6.15,6.25,5.81,5.93,3014061,False
2026-07-27,6.85,6.9,6.1,6.15,28843959,False
2026-07-24,5.38,6.38,5.26,6.38,15731176,False
2026-07-23,5.6,5.6,5.36,5.38,423606,False
2026-07-22,5.56,5.73,5.43,5.46,1115480,False
2026-07-21,5.69,5.78,5.6,5.6,798979,False
2026-07-20,5.74,5.74,5.51,5.57,427229,False
2026-07-17,5.67,5.88,5.66,5.67,223845,False
2026-07-16,5.68,5.88,5.68,5.79,658748,False
2026-07-15,5.67,5.77,5.57,5.68,851467,False
2026-07-14,5.81,5.84,5.5,5.56,2141551,False
2026-07-13,5.93,6.0,5.83,5.84,1170912,False
2026-07-10,6.1,6.26,6.0,6.03,1142161,False
2026-07-09,6.0,6.28,5.95,6.1,7426211,False
2026-07-08,5.83,6.25,5.83,6.0,7217496,False
2026-07-07,5.82,5.92,5.81,5.88,686773,False
2026-07-06,5.99,5.99,5.85,5.87,1119836,False
2026-07-03,5.84,6.04,5.84,5.92,1460043,False
2026-07-02,5.97,5.97,5.81,5.88,1599496,False
2026-07-01,5.85,6.05,5.85,5.87,1384667,False
2026-06-30,5.83,5.97,5.83,5.92,1219740,False
2026-06-29,6.09,6.09,5.81,5.83,1455043,False
2026-06-24,5.9,6.18,5.9,6.06,1069347,False
2026-06-23,6.2,6.2,6.0,6.01,1802971,False
2026-06-22,6.29,6.4,6.13,6.16,1017353,False
2026-06-19,6.57,6.57,6.17,6.27,3340610,False
2026-06-18,6.09,7.0,5.95,6.47,36477019,False
2026-06-17,6.0,6.16,5.91,6.0,2319970,False
2026-06-16,6.1,6.2,5.95,5.98,1653730,False
2026-06-15,6.1,6.25,6.0,6.03,2250708,False
2026-06-12,6.25,6.4,6.0,6.02,5861893,False
2026-06-11,5.9,6.29,5.9,6.1,6011261,False
2026-06-10,5.95,6.0,5.91,5.94,1242177,False
2026-06-09,5.95,6.12,5.91,5.97,3206340,False
2026-06-08,5.89,6.15,5.76,5.88,4609312,False
2026-06-05,5.82,6.12,5.71,5.94,9147200,False
2026-06-04,5.65,5.82,5.6,5.74,859811,False
2026-06-03,5.74,5.74,5.6,5.62,461096,False
2026-06-02,5.71,5.78,5.57,5.67,676740,False
2026-06-01,5.81,5.81,5.57,5.63,438657,False
2026-05-29,5.74,5.83,5.57,5.72,1099801,False
2026-05-25,5.76,5.91,5.7,5.71,774748,False
2026-05-22,5.76,5.8,5.62,5.65,598807,False
2026-05-21,5.5,5.86,5.5,5.65,1549491,False
2026-05-20,5.55,5.66,5.5,5.59,288504,False
2026-05-19,5.66,5.66,5.56,5.58,330657,False
2026-05-18,5.77,5.78,5.52,5.54,1057603,False
2026-05-15,5.85,5.94,5.75,5.78,1069165,False
2026-05-14,5.96,6.08,5.75,5.8,3823334,False
2026-05-13,5.9,6.24,5.87,5.96,5160762,False
2026-05-12,5.87,5.99,5.81,5.94,1047738,False
2026-05-11,5.89,5.95,5.83,5.87,953366,False
2026-05-08,5.82,6.12,5.77,5.94,5063255,False
2026-05-07,5.95,5.97,5.82,5.87,1677583,False
2026-05-06,5.83,6.08,5.81,5.9,2378962,False
2026-05-05,5.85,5.85,5.67,5.73,842388,False
2026-05-04,6.25,6.25,5.78,5.85,5503327,False
2026-04-30,6.13,6.14,5.76,6.05,3026346,False
2026-04-29,6.2,6.56,5.92,6.04,17226190,False
2026-04-28,5.53,6.49,5.53,6.28,17545870,False
2026-04-27,5.87,5.87,5.6,5.75,918131,False
2026-04-24,5.98,5.98,5.72,5.77,852387,False
2026-04-23,5.8,6.04,5.66,5.89,6350479,False
2026-04-22,5.96,5.96,5.62,5.67,1906400,False
2026-04-21,5.89,6.07,5.8,5.84,2942858,False
2026-04-20,5.93,6.18,5.53,5.89,6884557,False
2026-04-17,5.75,6.19,5.75,5.94,11845115,False
2026-04-16,5.72,5.89,5.59,5.63,3390132,False
2026-04-15,5.35,5.74,5.35,5.6,4007708,False
2026-04-14,5.3,5.43,5.2,5.33,1983054,False
2026-04-13,5.3,5.59,5.19,5.2,2240043,False
2026-04-10,5.68,5.83,5.52,5.68,1912881,False
2026-04-09,5.9,5.9,4.91,5.57,1588071,False
2026-04-08,6.0,6.0,5.61,5.9,5772742,False
2026-04-07,5.21,5.4,5.21,5.29,683637,False
2026-04-06,5.35,5.53,5.21,5.28,1881299,False
2026-04-03,5.06,5.95,5.06,5.35,10188297,False
2026-04-02,5.21,5.21,5.06,5.16,466251,False
2026-04-01,5.17,5.67,5.1,5.37,2694091,False
2026-03-31,4.88,5.15,4.8,5.02,1226649,False
2026-03-30,5.23,5.23,4.7,4.88,1255738,False
2026-03-27,5.15,5.28,5.0,5.14,1020673,False
2026-03-26,5.44,5.44,5.11,5.15,881495,False
2026-03-25,5.43,5.55,5.34,5.44,2919756,False
2026-03-24,5.36,5.67,5.2,5.24,1074708,False
2026-03-19,5.0,5.68,4.97,5.24,4598880,False
2026-03-18,5.19,5.3,5.05,5.26,1054165,False
2026-03-17,5.09,5.24,4.8,5.12,1299525,False
2026-03-16,5.03,5.13,4.8,4.91,813674,False
2026-03-13,5.03,5.15,5.02,5.09,764160,False
2026-03-12,5.35,5.37,5.0,5.06,3840654,False
2026-03-11,5.65,5.69,5.21,5.36,1849178,False
2026-03-10,5.5,5.75,5.39,5.55,2412047,False
2026-03-09,5.51,5.53,4.75,4.94,3156964,False
2026-03-06,5.95,5.95,5.51,5.65,1345964,False
2026-03-05,5.35,6.0,5.35,5.91,2364814,False
2026-03-04,5.75,5.75,5.3,5.35,1736803,False
2026-03-03,5.1,5.84,5.1,5.48,2787808,False
2026-03-02,5.56,6.0,5.54,5.54,4438222,False
2026-02-27,6.25,6.8,5.9,6.54,14492488,False
2026-02-26,5.3,6.1,5.3,5.89,6412145,False
2026-02-25,4.9,5.58,4.73,5.24,3288318,False
2026-02-24,4.99,5.19,4.52,4.72,1194095,False
2026-02-23,5.3,5.4,4.81,4.91,1110632,False
2026-02-20,5.38,5.55,5.11,5.32,806393,False
2026-02-19,5.98,6.0,5.3,5.39,1504630,False
2026-02-18,5.15,6.11,5.15,5.98,6272087,False
2026-02-17,5.44,5.56,5.01,5.16,1402780,False
2026-02-16,5.78,5.78,5.26,5.38,1529486,False
2026-02-13,5.86,5.87,5.6,5.67,1539185,False
2026-02-12,6.02,6.2,5.7,5.79,1569775,False
2026-02-11,6.2,6.39,5.95,6.02,2720743,False
2026-02-10,6.27,6.49,6.03,6.14,915953,False
2026-02-09,6.4,6.59,6.0,6.2,1883708,False
2026-02-06,6.68,6.7,6.06,6.33,1624239,False
2026-02-04,6.55,7.0,6.55,6.68,1350450,False
2026-02-03,6.52,6.88,6.5,6.72,2571749,False
2026-02-02,6.83,6.86,6.51,6.61,1830942,False
2026-01-30,6.9,7.1,6.62,6.83,2072775,False
2026-01-29,7.2,7.34,6.7,6.81,4938237,False
2026-01-28,7.05,7.49,7.0,7.11,4642327,False
2026-01-27,7.26,7.34,7.0,7.05,5119448,False
2026-01-26,7.6,7.6,7.25,7.29,5846844,False
2026-01-23,7.85,7.85,7.48,7.56,3274603,False
