date,open,high,low,close,volume,is_anomaly
2026-09-18,22.01,22.78,22.01,22.51,853297,False
2026-09-17,22.84,22.9,22.2,22.34,880235,False
2026-09-16,22.9,23.0,22.25,22.48,1642425,False
2026-09-15,22.99,23.7,22.8,22.94,2490180,False
2026-09-14,22.4,22.95,21.85,22.66,4047070,False
2026-09-11,22.95,22.95,21.52,22.47,2069057,False
2026-09-10,23.65,23.65,22.8,22.95,2933756,False
2026-09-09,24.15,24.25,23.52,23.68,1936391,False
2026-09-08,24.75,24.8,23.8,24.1,4761776,False
2026-09-07,24.0,24.58,23.7,24.46,13838627,False
2026-09-04,23.8,24.35,23.51,23.85,6522168,False
2026-09-03,23.53,23.93,23.31,23.5,3073596,False
2026-09-02,23.7,23.94,23.0,23.53,4688429,False
2026-09-01,23.65,24.55,23.18,23.79,24374265,False
2026-08-31,21.83,23.6,21.4,23.42,18270680,False
2026-08-28,21.79,22.0,20.9,21.71,3986280,False
2026-08-27,21.95,22.1,21.49,21.73,1644196,False
2026-08-25,22.4,22.4,21.76,21.95,1974135,False
2026-08-24,22.5,22.64,22.07,22.18,1224648,False
2026-08-21,22.3,22.66,22.0,22.3,1499084,False
2026-08-20,22.31,22.89,22.26,22.42,3172513,False
2026-08-19,22.55,22.67,21.06,22.35,4686823,False
2026-08-18,23.0,23.0,21.51,22.13,3227472,False
2026-08-17,23.3,23.92,22.86,23.07,7145268,False
2026-08-13,23.29,23.85,22.67,23.59,14138754,False
2026-08-12,22.21,23.2,22.05,23.06,17052475,False
2026-08-11,22.7,22.79,22.15,22.24,6391152,False
2026-08-10,21.03,22.75,21.03,22.62,31810250,False
2026-08-07,20.55,20.96,20.05,20.68,9305807,False
2026-08-06,19.19,20.49,19.19,20.34,11835240,False
2026-08-05,20.34,20.34,19.0,19.4,7352268,False
2026-08-04,21.6,21.65,19.88,19.98,14375159,False
2026-08-03,20.53,21.98,20.53,21.47,36466461,False
2026-07-31,19.3,20.45,19.14,20.33,27658286,False
2026-07-30,19.76,20.01,18.85,19.18,13864531,False
2026-07-29,19.85,20.21,19.4,19.67,14771037,False
2026-07-28,19.9,20.3,19.6,19.82,21763143,False
2026-07-27,18.65,19.87,18.6,19.61,27419235,False
2026-07-24,17.5,18.5,17.3,18.29,9848254,False
2026-07-23,17.9,18.3,17.56,17.75,5121330,False
2026-07-22,18.13,18.65,17.67,17.9,12939537,False
2026-07-21,17.39,18.6,17.2,18.24,24401935,False
2026-07-20,16.4,17.37,16.15,17.17,9749250,False
2026-07-17,16.6,16.62,16.05,16.45,3564970,False
2026-07-16,16.64,17.05,16.15,16.52,9240582,False
2026-07-15,15.6,17.05,15.6,16.74,12268573,False
2026-07-14,16.49,16.55,14.9,15.65,15185917,False
2026-07-13,17.28,17.29,16.25,16.55,3290396,False
2026-07-10,17.23,17.64,17.2,17.47,2612741,False
2026-07-09,17.29,17.93,16.91,17.65,6543057,False
2026-07-08,17.21,17.9,16.31,17.36,16454936,False
2026-07-07,17.55,18.14,17.07,17.79,28625521,False
2026-07-06,16.94,17.59,16.8,17.15,18767081,False
2026-07-03,18.0,18.28,16.35,16.79,48406341,False
