date,open,high,low,close,volume,is_anomaly
2026-09-18,28.48,31.4,26.76,30.6,11575374,False
2026-09-17,26.99,29.52,26.85,28.97,10383977,False
2026-09-16,25.98,26.85,24.41,26.84,8450160,False
2026-09-15,22.25,24.41,22.0,24.41,6313187,False
2026-09-14,22.0,22.35,21.51,22.19,2534265,False
2026-09-11,21.68,22.6,21.2,22.22,4041666,False
2026-09-10,21.9,22.0,21.2,21.72,2523456,False
2026-09-09,21.9,22.2,21.2,21.92,6499089,False
2026-09-08,21.94,22.45,21.13,21.95,2243434,False
2026-09-07,22.45,22.89,21.5,22.3,3298324,False
2026-09-04,22.68,22.8,21.55,22.59,5616218,False
2026-09-03,22.4,23.18,21.5,22.86,11075546,False
2026-09-02,20.39,22.5,20.0,21.95,14242290,False
2026-09-01,19.23,20.93,18.8,20.65,7409756,False
2026-08-31,18.19,19.22,17.7,19.03,4842054,False
2026-08-28,91.0,91.0,86.1,87.35,55797,False
2026-08-27,92.99,95.64,83.38,90.62,885959,False
2026-08-25,94.0,95.5,89.5,92.64,384341,False
2026-08-24,89.98,95.19,88.5,94.51,628149,False
2026-08-21,90.99,92.0,88.0,89.41,556198,False
2026-08-20,89.99,91.0,88.0,90.06,94277,False
2026-08-19,91.5,91.5,87.4,89.64,252169,False
2026-08-18,89.45,91.0,88.19,90.27,348859,False
2026-08-17,93.0,93.0,89.0,89.22,129111,False
2026-08-13,92.0,94.0,90.5,92.36,141729,False
2026-08-12,92.85,96.0,91.4,91.77,320008,False
2026-08-11,93.89,93.89,89.0,91.91,583690,False
2026-08-10,94.0,94.0,90.0,91.35,80006,False
2026-08-07,92.0,94.25,92.0,93.01,698785,False
2026-08-06,93.95,94.0,91.0,92.62,226768,False
2026-08-05,93.0,96.0,90.5,93.1,2056616,False
2026-08-04,97.0,98.0,92.0,93.16,55556,False
2026-08-03,97.44,98.0,95.5,96.38,360280,False
2026-07-31,97.22,102.0,94.0,95.48,854028,False
2026-07-30,99.98,100.0,95.0,97.22,301586,False
2026-07-29,101.85,102.0,97.55,98.2,501904,False
2026-07-28,103.79,104.89,101.0,102.02,133709,False
2026-07-27,103.11,105.99,102.0,103.79,271148,False
2026-07-24,102.0,103.8,96.7,102.66,824369,False
2026-07-23,103.13,104.0,99.0,101.66,417064,False
2026-07-22,106.7,106.7,100.0,103.13,190599,False
2026-07-21,106.9,108.68,104.0,106.75,176495,False
2026-07-20,105.99,107.5,100.0,107.14,716070,False
2026-07-17,105.75,112.79,103.15,106.11,1335436,False
2026-07-16,108.88,110.0,105.57,109.73,544314,False
2026-07-15,103.1,109.78,103.01,107.97,399855,False
2026-07-14,116.99,116.99,104.43,105.31,541724,False
2026-07-13,110.25,119.0,110.25,116.03,352307,False
2026-07-10,107.5,117.07,107.25,115.05,1012441,False
2026-07-09,100.99,110.75,98.1,106.52,609215,False
2026-07-08,102.97,102.99,96.6,100.68,299488,False
2026-07-07,106.79,106.79,102.0,103.9,304476,False
2026-07-06,104.04,108.0,104.01,106.31,309473,False
2026-07-03,102.95,107.99,100.0,106.27,424663,False
2026-07-02,102.85,103.95,100.0,102.54,244309,False
2026-07-01,101.0,103.47,95.11,102.24,660359,False
2026-06-30,94.91,103.4,94.01,102.17,722416,False
2026-06-29,103.99,104.68,94.24,95.63,982280,False
2026-06-24,112.99,119.49,100.77,104.71,1862510,False
2026-06-23,113.0,113.0,106.02,111.97,613784,False
2026-06-22,113.0,118.0,108.0,112.57,1910996,False
2026-06-19,100.11,112.38,100.11,111.92,1723566,False
2026-06-18,99.98,103.99,97.0,102.16,1048491,False
2026-06-17,91.99,98.8,90.0,98.3,2441037,False
2026-06-16,86.5,91.5,82.6,89.82,1900826,False
2026-06-15,86.1,89.9,84.0,86.63,423082,False
2026-06-12,86.99,90.0,84.5,85.95,1267605,False
2026-06-11,84.9,89.48,80.15,84.35,1362201,False
