date,open,high,low,close,volume,is_anomaly
2026-08-28,459.85,461.11,457.0,458.7,1749780,False
2026-08-27,458.0,462.0,457.2,459.85,1133517,False
2026-08-25,449.49,463.13,444.89,456.97,1572644,False
2026-08-24,448.16,452.0,441.77,444.89,1153839,False
2026-08-21,448.01,453.49,442.01,446.43,1896516,False
2026-08-20,454.0,457.9,443.75,447.93,1393525,False
2026-08-19,458.5,461.5,452.0,453.66,2298632,False
2026-08-18,468.5,468.99,459.17,461.98,1125546,False
2026-08-17,469.22,471.41,467.11,468.64,560193,False
2026-08-13,470.21,470.99,467.0,469.23,291971,False
2026-08-12,469.6,472.99,467.0,468.7,610384,False
2026-08-11,471.49,473.0,465.15,469.57,1474567,False
2026-08-10,476.11,479.0,470.0,473.16,991794,False
2026-08-07,477.0,478.78,473.0,475.74,1046463,False
2026-08-06,473.0,479.89,470.5,478.03,2514396,False
2026-08-05,470.0,473.5,463.0,471.44,2431158,False
2026-08-04,468.0,469.9,461.7,462.71,904833,False
2026-08-03,471.98,474.74,467.0,467.69,1475778,False
2026-07-31,468.0,470.0,464.5,465.21,1162621,False
2026-07-30,467.0,476.0,463.99,473.96,3670901,False
2026-07-29,469.99,470.45,465.06,469.11,2117163,False
2026-07-28,480.3,481.97,471.0,473.33,1573840,False
2026-07-27,469.0,480.6,461.02,477.91,3724674,False
2026-07-24,449.88,454.8,443.0,446.7,1869183,False
2026-07-23,465.11,469.5,449.8,452.12,2005536,False
2026-07-22,474.36,474.98,462.02,464.79,4611424,False
2026-07-21,476.0,481.84,472.25,474.36,2297136,False
2026-07-20,460.0,474.0,457.01,471.94,1852821,False
2026-07-17,472.0,474.52,464.0,465.98,1334316,False
2026-07-16,462.58,472.98,462.58,470.23,1880995,False
2026-07-15,460.0,468.0,457.5,462.58,2091081,False
2026-07-14,470.05,472.49,451.0,453.98,2786078,False
2026-07-13,475.0,482.9,472.0,476.41,1479210,False
2026-07-10,482.5,488.66,480.19,484.06,3748040,False
2026-07-09,475.0,482.8,467.0,479.01,3377560,False
2026-07-08,475.0,487.0,461.12,477.6,4478938,False
2026-07-07,498.0,498.0,488.6,490.29,1367704,False
2026-07-06,491.8,496.0,491.8,494.67,2459608,False
2026-07-03,482.0,497.31,480.25,490.77,3564201,False
2026-07-02,484.5,494.3,478.36,484.99,5332053,False
2026-07-01,449.5,484.98,449.5,479.73,8560443,False
2026-06-30,445.0,449.51,444.32,447.67,2358271,False
2026-06-29,440.0,453.0,436.0,442.79,12042130,False
2026-06-24,429.31,445.0,429.31,442.92,2491426,False
2026-06-23,441.4,441.4,427.99,429.31,2168024,False
2026-06-22,444.0,445.0,435.5,437.46,1316691,False
2026-06-19,445.0,445.99,428.5,438.18,3605352,False
2026-06-18,446.9,448.0,444.0,445.04,5270983,False
2026-06-17,456.8,458.5,442.6,445.2,4879298,False
2026-06-16,435.1,455.9,434.01,454.43,5684612,False
2026-06-15,413.99,430.0,413.51,428.07,4296022,False
2026-06-12,404.8,409.0,400.0,404.97,1857049,False
2026-06-11,396.0,401.01,393.5,399.0,1109853,False
2026-06-10,397.0,401.59,395.84,397.08,623419,False
2026-06-09,399.99,401.1,398.5,400.18,881933,False
2026-06-08,398.0,398.0,391.25,394.76,670308,False
2026-06-05,405.05,407.0,397.02,399.57,1485387,False
2026-06-04,405.0,407.45,403.5,404.72,905251,False
2026-06-03,405.51,407.85,402.5,404.47,345308,False
2026-06-02,404.7,411.8,402.11,406.97,1197933,False
2026-06-01,408.98,409.51,402.0,404.77,1713000,False
2026-05-29,415.0,417.0,405.5,408.73,3923435,False
2026-05-25,414.9,417.0,409.1,413.49,1418604,False
2026-05-22,411.0,414.0,402.05,404.05,1663751,False
2026-05-21,390.1,410.0,390.1,407.03,4473497,False
2026-05-20,384.0,389.9,380.0,388.73,938216,False
2026-05-19,374.85,384.0,374.85,382.07,1345462,False
2026-05-18,374.72,376.89,371.0,372.67,1326131,False
2026-05-15,383.1,383.1,376.05,379.5,3189104,False
2026-05-14,396.7,396.7,380.02,384.21,2042273,False
2026-05-13,400.1,403.99,391.3,394.05,1258589,False
2026-05-12,406.0,410.0,395.0,399.55,1374381,False
2026-05-11,412.0,413.0,404.0,405.48,1388057,False
2026-05-08,416.62,417.24,411.0,415.22,1458755,False
2026-05-07,416.5,423.75,413.0,421.71,3021667,False
2026-05-06,396.8,419.19,392.0,415.6,3739009,False
2026-05-05,380.0,387.0,380.0,385.11,1448268,False
2026-05-04,386.0,398.0,384.0,385.94,1096678,False
2026-04-30,380.01,389.7,370.26,381.23,3876233,False
2026-04-29,400.99,405.0,387.6,390.16,1411710,False
2026-04-28,402.0,405.0,396.0,400.67,3213382,False
2026-04-27,416.4,416.5,407.0,409.88,2099342,False
2026-04-24,405.05,419.01,402.05,416.31,3144070,False
2026-04-23,419.0,422.0,400.0,410.46,3574325,False
2026-04-22,445.0,445.0,422.01,425.2,5341027,False
2026-04-21,419.0,451.5,419.0,436.6,6379432,False
2026-04-20,404.31,420.99,395.01,415.84,8953976,False
2026-04-17,385.0,409.9,385.0,406.88,7693869,False
2026-04-16,375.0,384.49,373.0,381.38,4317842,False
2026-04-15,365.1,382.48,361.9,370.73,16139986,False
2026-04-14,350.0,359.0,350.0,355.93,2309702,False
2026-04-13,348.01,355.0,341.11,342.73,3704992,False
2026-04-10,360.01,368.0,355.0,360.34,5590841,False
2026-04-09,350.0,365.0,340.2,357.07,6749074,False
2026-04-08,346.65,346.65,346.65,346.65,3631740,False
2026-04-07,305.0,316.99,293.25,315.14,5563975,False
2026-04-06,327.0,328.75,294.1,306.1,14902528,False
2026-04-03,333.0,337.5,321.6,326.76,6694338,False
2026-04-02,340.0,344.0,336.6,340.62,2001736,False
2026-04-01,338.0,356.0,337.0,353.06,6032335,False
2026-03-31,340.0,344.98,328.0,331.95,2524630,False
2026-03-30,346.0,347.0,330.0,336.81,1633213,False
2026-03-27,350.0,354.5,339.0,344.45,2385166,False
2026-03-26,374.5,374.99,343.0,347.58,2917729,False
2026-03-25,372.02,376.88,369.4,374.01,1466624,False
2026-03-24,378.01,378.77,367.01,369.54,707600,False
2026-03-19,362.32,375.0,362.32,368.72,1169167,False
2026-03-18,365.0,387.0,365.0,382.07,1164731,False
2026-03-17,360.01,365.8,357.5,364.83,822144,False
2026-03-16,371.37,374.98,352.1,358.45,1020364,False
2026-03-13,365.22,376.0,362.56,371.37,688786,False
2026-03-12,373.98,373.98,362.5,365.22,1265998,False
2026-03-11,382.16,388.95,372.9,374.37,1198962,False
2026-03-10,397.47,397.47,379.4,381.49,2343117,False
2026-03-09,380.0,388.0,361.34,361.34,5325659,False
2026-03-06,418.0,418.0,399.01,401.49,2875618,False
2026-03-05,416.0,421.89,413.15,416.07,1102310,False
2026-03-04,420.0,420.0,403.7,412.85,2585696,False
2026-03-03,396.0,424.0,395.0,418.68,3163672,False
2026-03-02,395.82,415.0,395.82,396.03,3856859,False
2026-02-27,450.0,457.0,430.0,439.8,1416459,False
2026-02-26,450.1,457.99,443.0,451.19,1492825,False
2026-02-25,467.0,471.89,447.0,450.04,2942476,False
2026-02-24,470.1,479.98,459.99,461.46,1204649,False
2026-02-23,479.88,484.8,464.05,470.09,537586,False
2026-02-20,482.5,484.99,469.0,479.98,1053062,False
2026-02-19,490.5,490.5,465.0,477.65,1289120,False
2026-02-18,462.0,491.24,460.06,489.32,2275151,False
2026-02-17,463.0,468.5,446.18,455.57,2234597,False
2026-02-16,483.0,483.5,446.0,459.84,1629894,False
2026-02-13,488.0,488.0,478.02,479.98,1048900,False
2026-02-12,485.06,491.91,474.0,484.84,1814049,False
